year,petroleum_exploration_aud_million,coal_exploration_aud_million,iron_ore_exploration_aud_million,gold_exploration_aud_million,uranium_exploration_aud_million,all_mineral_exploration_aud_million,energy_exploration_aud_million,energy_iva_aud_million,energy_purchases_aud_million,energy_sales_income_aud_million,metal_ore_iva_aud_million,metal_ore_purchases_aud_million,mining_total_iva_aud_million,mining_total_purchases_aud_million,mining_capex_aud_million,jpn_fdi_mining_usd_million,jpn_fdi_manufacturing_usd_million,jpn_fdi_total_usd_million,jpn_fdi_communications_usd_million,jpn_fdi_finance_usd_million,jpn_fdi_real_estate_usd_million,jpn_fdi_jetro_total_usd_million,jpn_dfat_direct_flow_aud_million,jpn_dfat_total_flow_aud_million,jpn_dfat_direct_stock_aud_million,jpn_dfat_total_stock_aud_million,jpn_dfat_total_equity_stock_aud_million,jpn_dfat_total_debt_stock_aud_million,jpn_dfat_investment_income_aud_million,coking_coal_export_usd_million,coking_coal_export_mt,gdp_chn_usd,gdp_aus_usd,gdp_jpn_usd,coal_australian_usd_per_mt,crude_oil_avg_usd_per_bbl,crude_oil_brent_usd_per_bbl,iron_ore_cfr_spot_usd_per_dmtu,lng_japan_usd_per_mmbtu,aud_per_usd,jbic_all_loans_usd_million,jbic_energy_loans_usd_million,jbic_n_releases,jbic_n_energy_releases
1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47310737754.2287,19953923192.6277,64987857541.6256,,1.52,1.52,11.01,,0.892856999892857,,,,
1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50812227918.5753,21573443451.751,74379284603.3875,,1.5,1.5,11.02,,0.892856999892857,,,,
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.388,3.587,59821862703.4023,23835843813.735,87490590817.9803,,1.45,1.45,10.24,,0.892856999892857,,,,
1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.084,5.756,70565994356.1828,26014244162.2791,97338107605.8236,,1.42,1.42,10.66166666667,,0.892856999892857,,,,
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.476,7.314,76854053259.209,27349284375.8855,113046784179.289,,1.36,1.36,9.52,,0.892856999892857,,,,
1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.707,8.54,73011350596.2485,30487524878.004,132475614226.519,,1.33,1.33,8.86,,0.892856999892857,,,,
1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.714,10.021,70980323818.7853,32763365242.1384,156897496759.128,,1.32,1.32,8.77,,0.892856999892857,,,,
1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.218,13.663,79847786729.1898,36738245878.1193,184298841304.667,,1.27,1.27,9.84,,0.892856999892857,,,,
1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.566,16.521,92752930873.1912,41395206623.2331,217223652719.444,7.8,1.21,1.21,9.84,,0.892856999892857,,,,
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.133,16.494,99959013879.6308,45283847245.4156,245364056622.363,8.68,1.69,1.69,10.33,,0.882670259295548,,,,
