partner_iso,partner_m49,year,value_usd,net_weight_kg,commodity,classification,hs_or_sitc_code,japan_total_value_usd,japan_total_net_weight_kg,value_share_of_japan_total,weight_share_of_japan_total,country,first_spa_signed_year,first_cargo_year,treatment_cohort,treated_t,event_time,post
ARE,784,1977,42550036,413276992.0,gas_natural_manufactured,S1,341,1797207424,14517962752.0,0.023675640013381117,0.028466596798718664,United Arab Emirates,1973.0,1977.0,1977.0,1,0.0,1.0
ARE,784,1978,175988240,1582048000.0,gas_natural_manufactured,S1,341,2546333696,19237890048.0,0.06911436638350169,0.08223604543183632,United Arab Emirates,1973.0,1977.0,1977.0,1,1.0,1.0
ARE,784,1979,207782048,1743378048.0,gas_natural_manufactured,S1,341,3760393984,23225190400.0,0.05525539315403819,0.07506410143358824,United Arab Emirates,1973.0,1977.0,1977.0,1,2.0,1.0
ARE,784,1980,746405120,2635496960.0,gas_natural_manufactured,S1,341,7671224320,26511470592.0,0.09729934738761492,0.09940968573788878,United Arab Emirates,1973.0,1977.0,1977.0,1,3.0,1.0
ARE,784,1981,1051997120,3220232960.0,gas_natural_manufactured,S1,341,8356574208,27316060160.0,0.1258885631617908,0.1178878996875075,United Arab Emirates,1973.0,1977.0,1977.0,1,4.0,1.0
ARE,784,1982,1337230464,4446778880.0,gas_natural_manufactured,S1,341,8416366080,29197754368.0,0.15888454129599838,0.15229866050498586,United Arab Emirates,1973.0,1977.0,1977.0,1,5.0,1.0
ARE,784,1983,1139253504,3992604928.0,gas_natural_manufactured,S1,341,8331571712,29679878144.0,0.13673932642974532,0.13452228168285568,United Arab Emirates,1973.0,1977.0,1977.0,1,6.0,1.0
ARE,784,1984,1155429632,4391844864.0,gas_natural_manufactured,S1,341,9529320448,37250805760.0,0.12124995043508059,0.11789932524670306,United Arab Emirates,1973.0,1977.0,1977.0,1,7.0,1.0
ARE,784,1985,1155384064,4673773056.0,gas_natural_manufactured,S1,341,10006052864,39311142912.0,0.11546851487831596,0.11889181310404735,United Arab Emirates,1973.0,1977.0,1977.0,1,8.0,1.0
ARE,784,1986,1002835712,5078440960.0,gas_natural_manufactured,S1,341,7843266048,40266813440.0,0.12785945368456791,0.12611976280584472,United Arab Emirates,1973.0,1977.0,1977.0,1,9.0,1.0
ARE,784,1987,808583507,4899358000.0,gas_natural_manufactured,S1,341,7021780799,41777108865.0,0.11515362415117739,0.1172737447158432,United Arab Emirates,1973.0,1977.0,1977.0,1,10.0,1.0
ARE,784,1988,385650804,2355467000.0,lng_liquefied,HS,271111,5171219963,31032076000.0,0.07457636819925001,0.07590426757139934,United Arab Emirates,1973.0,1977.0,1977.0,1,11.0,1.0
