year,state,commodity,production_tonnes
1799,Australia,black_coal,950.0
1800,Australia,black_coal,1000.0
1801,Australia,black_coal,1050.0
1802,Australia,black_coal,1100.0
1803,Australia,black_coal,1150.0
1804,Australia,black_coal,1200.0
1805,Australia,black_coal,1250.0
1806,Australia,black_coal,1300.0
1807,Australia,black_coal,1350.0
1808,Australia,black_coal,1400.0
1809,Australia,black_coal,1450.0
1810,Australia,black_coal,1500.0
1811,Australia,black_coal,1550.0
1812,Australia,black_coal,1600.0
1813,Australia,black_coal,1650.0
1814,Australia,black_coal,1700.0
1815,Australia,black_coal,1750.0
1816,Australia,black_coal,1800.0
1817,Australia,black_coal,1850.0
1818,Australia,black_coal,1900.0
1819,Australia,black_coal,1950.0
1820,Australia,black_coal,2000.0
1821,Australia,black_coal,2050.0
1822,Australia,black_coal,2100.0
1823,Australia,black_coal,2150.0
1824,Australia,black_coal,2200.0
1825,Australia,black_coal,2250.0
1826,Australia,black_coal,2300.0
1827,Australia,black_coal,2350.0
1828,Australia,black_coal,2400.0
1829,Australia,black_coal,792.0
1830,Australia,black_coal,4064.0
1831,Australia,black_coal,5080.0
1832,Australia,black_coal,7257.0
1833,Australia,black_coal,6921.0
1834,Australia,black_coal,8626.0
1835,Australia,black_coal,12590.0
1836,Australia,black_coal,12848.0
1837,Australia,black_coal,16340.0
1838,Australia,black_coal,17496.0
1839,Australia,black_coal,21624.0
1840,Australia,black_coal,30740.0
1841,Australia,black_coal,35398.0
1842,Australia,black_coal,40538.0
1843,Australia,black_coal,26276.0
1844,Australia,black_coal,23488.0
1845,Australia,black_coal,22681.0
1846,Australia,black_coal,39588.0
1847,Australia,black_coal,41384.0
1848,Australia,black_coal,46174.0
1849,Australia,black_coal,49292.0
1850,Australia,black_coal,72355.0
1851,Australia,black_coal,68692.0
1852,Australia,black_coal,68482.0
1853,Australia,black_coal,106141.0
1854,Australia,black_coal,126508.0
1855,Australia,black_coal,147269.0
1856,Australia,black_coal,200999.0
1857,Australia,black_coal,221801.0
1858,Australia,black_coal,227859.0
1859,Australia,black_coal,321144.0
1860,Australia,black_coal,395288.0
1861,Australia,black_coal,361979.0
1862,Australia,black_coal,508598.0
1863,Australia,black_coal,465215.0
1864,Australia,black_coal,583196.0
1865,Australia,black_coal,630766.0
1866,Australia,black_coal,841109.0
1867,Australia,black_coal,809082.0
1868,Australia,black_coal,998724.0
1869,Australia,black_coal,956208.0
1870,Australia,black_coal,915405.0
1871,Australia,black_coal,940116.0
1872,Australia,black_coal,1065077.0
1873,Australia,black_coal,1256920.0
1874,Australia,black_coal,1382004.0
1875,Australia,black_coal,1391468.0
1876,Australia,black_coal,1399784.0
1877,Australia,black_coal,1541352.0
1878,Australia,black_coal,1666634.0
1879,Australia,black_coal,1674274.0
1880,Australia,black_coal,1561034.0
1881,Australia,black_coal,1875917.0
1882,Australia,black_coal,2227611.0
1883,Australia,black_coal,2677675.0
1884,Australia,black_coal,2926395.0
1885,Australia,black_coal,3145551.0
1886,Australia,black_coal,3119435.0
1887,Australia,black_coal,3243377.0
1888,Australia,black_coal,3622046.0
1889,Australia,black_coal,4035994.0
1890,Australia,black_coal,3519769.0
1891,Australia,black_coal,4445632.0
1892,Australia,black_coal,4171112.0
1893,Australia,black_coal,3727856.0
1894,Australia,black_coal,4211259.0
1895,Australia,black_coal,4357199.0
1896,Australia,black_coal,4622163.0
1897,Australia,black_coal,5100799.0
1898,Australia,black_coal,5494763.0
1899,Australia,black_coal,5537568.0
1900,Australia,black_coal,6487432.0
1901,Australia,black_coal,6990589.0
1902,Australia,black_coal,6968188.0
1903,Australia,black_coal,7223092.0
1904,Australia,black_coal,6962876.0
1905,Australia,black_coal,7615891.0
1906,Australia,black_coal,8733959.0
1907,Australia,black_coal,9848595.0
1908,Australia,black_coal,10356225.0
1909,Australia,black_coal,8316054.0
1910,Australia,black_coal,9914478.0
1911,Australia,black_coal,10712706.0
1912,Australia,black_coal,11913375.0
1913,Australia,black_coal,12613520.0
1914,Australia,black_coal,12641226.0
1915,Australia,black_coal,11595188.0
1916,Australia,black_coal,9966119.0
1917,Australia,black_coal,10361407.0
1918,Australia,black_coal,11057276.0
1919,Australia,black_coal,10622378.0
1920,Australia,black_coal,13010493.0
1921,Australia,black_coal,13003075.0
1922,Australia,black_coal,12403955.0
1923,Australia,black_coal,12717709.0
1924,Australia,black_coal,13977620.0
1925,Australia,black_coal,13844805.0
1926,Australia,black_coal,13487403.0
1927,Australia,black_coal,13739327.0
1928,Australia,black_coal,12029216.0
1929,Australia,black_coal,10531164.0
1930,Australia,black_coal,9683861.0
1931,Australia,black_coal,8535680.0
1932,Australia,black_coal,8723232.0
1933,Australia,black_coal,9237448.0
1934,Australia,black_coal,9957483.0
1935,Australia,black_coal,11062161.0
1936,Australia,black_coal,11552336.0
1937,Australia,black_coal,12267462.0
1938,Australia,black_coal,11867042.0
1939,Australia,black_coal,13751704.0
1940,Australia,black_coal,11913294.0
1941,Australia,black_coal,14439850.0
1942,Australia,black_coal,15111176.0
1943,Australia,black_coal,14363749.0
1944,Australia,black_coal,13976185.0
1945,Australia,black_coal,12997964.0
1946,Australia,black_coal,14104814.0
1947,Australia,black_coal,15068516.0
1948,Australia,black_coal,15019708.0
1949,Australia,black_coal,14331536.0
1950,Australia,black_coal,16808178.0
1951,Australia,black_coal,17890163.0
1952,Australia,black_coal,19714512.0
1953,Australia,black_coal,18705419.0
1954,Australia,black_coal,20079248.0
1955,Australia,black_coal,19583146.0
1956,Australia,black_coal,19582215.0
1957,Australia,black_coal,20237802.0
1958,Australia,black_coal,20768922.0
1959,Australia,black_coal,20623217.0
1960,Australia,black_coal,22930063.0
1961,Australia,black_coal,24390155.0
1962,Australia,black_coal,25138399.0
1963,Australia,black_coal,25254043.0
1964,Australia,black_coal,27230029.0
1965,Australia,black_coal,31941560.0
1966,Australia,black_coal,33900032.0
1967,Australia,black_coal,35359362.0
1968,Australia,black_coal,40936510.0
1969,Australia,black_coal,46119061.0
1970,Australia,black_coal,49551128.0
1971,Australia,black_coal,48828000.0
1972,Australia,black_coal,59762000.0
1973,Australia,black_coal,60655000.0
1974,Australia,black_coal,70139000.0
1975,Australia,black_coal,74721000.0
1976,Australia,black_coal,84189000.0
1977,Australia,black_coal,87431000.0
1978,Australia,black_coal,89353000.0
1979,Australia,black_coal,93042000.0
1980,Australia,black_coal,93406000.0
1981,Australia,black_coal,100621000.0
1982,Australia,black_coal,107358000.0
1983,Australia,black_coal,109045000.0
1984,Australia,black_coal,124569000.0
1985,Australia,black_coal,142351000.0
1986,Australia,black_coal,153198000.0
1987,Australia,black_coal,158960000.0
1988,Australia,black_coal,174397507.0
1989,Australia,black_coal,193000084.0
1990,Australia,black_coal,200218214.0
1991,Australia,black_coal,207201324.0
1992,Australia,black_coal,224120664.0
1993,Australia,black_coal,224168570.0
1994,Australia,black_coal,227849995.0
1995,Australia,black_coal,239731067.0
1996,Australia,black_coal,250177383.0
1997,Australia,black_coal,269980475.0
1998,Australia,black_coal,284405520.0
1999,Australia,black_coal,293233470.0
2000,Australia,black_coal,304232697.0
2001,Australia,black_coal,334010724.0
