project,commodity,year,first_export_year,years_since_first_export,equity_initial,equity_current,nameplate_mtpa,japanese_equity_pct,japanese_equity_change_flag,mtpa_production,japan_share_of_output_pct,first_jsm_spa_year,has_spa_through_2010,has_japanese_spa,spa_age_years,coal_australian_usd_per_mt,iron_ore_cfr_spot_usd_per_dmtu,lng_japan_usd_per_mmbtu,jpy_per_aud
Bengalla,thermal_coal,1999,1999,0,10,0,8.6,10,0,8.6,,1999,1,1,0.0,25.89166666667,27.59,3.1375,73.49063195586955
Bengalla,thermal_coal,2000,1999,1,10,0,8.6,10,0,,,1999,1,1,1.0,26.25,28.79,4.7125,62.47903074318547
Bengalla,thermal_coal,2001,1999,2,10,0,8.6,10,0,,,1999,1,1,2.0,32.3125,30.03,4.63416666667,62.85625122029748
Bengalla,thermal_coal,2002,1999,3,10,0,8.6,10,0,,,1999,1,1,3.0,25.309375,29.31,4.28166666667,68.12483638380495
Bengalla,thermal_coal,2003,1999,4,10,0,8.6,10,0,,,1999,1,1,4.0,26.090625,31.95,4.73083333333,75.18801414043264
Bengalla,thermal_coal,2004,1999,5,10,0,8.6,10,0,,,1999,1,1,5.0,52.94791666667,37.9,5.1275,79.56783985811168
Bengalla,thermal_coal,2005,1999,6,10,0,8.6,10,0,,,1999,1,1,6.0,47.62090277778,65.0,5.99,84.16987872987151
Bengalla,thermal_coal,2006,1999,7,10,0,8.6,10,0,,,1999,1,1,7.0,49.08958333333,69.33333333333,7.075,87.57653437924084
Bengalla,thermal_coal,2007,1999,8,10,0,8.6,10,0,,,1999,1,1,8.0,65.733125,122.9875,7.68333333333,98.53254021548231
Bengalla,thermal_coal,2008,1999,9,10,0,8.6,10,0,,,1999,1,1,9.0,127.10416666667,155.99333333333,12.52666666667,86.69801411275519
Bengalla,thermal_coal,2009,1999,10,10,0,8.6,10,0,,,1999,1,1,10.0,71.84416666667,79.97916666667,8.93583333333,72.97684112597862
Bengalla,thermal_coal,2010,1999,11,10,0,8.6,10,0,,,1999,1,1,11.0,98.96604166667,145.86318542569,10.84833333333,80.5202138734196
Goonyella (CQCA/BMA),coking_coal,1971,1971,0,15,50,5.0,15,0,5.0,,1971,1,1,0.0,8.68,10.33,,397.29184238430673
Goonyella (CQCA/BMA),coking_coal,1972,1971,1,15,50,5.0,15,0,,,1971,1,1,1.0,9.6,10.33,,361.4800198281875
Goonyella (CQCA/BMA),coking_coal,1973,1971,2,15,50,5.0,15,0,,,1971,1,1,2.0,11.48,10.33,,385.8774320346885
Goonyella (CQCA/BMA),coking_coal,1974,1971,3,15,50,5.0,15,0,,,1971,1,1,3.0,16.89,13.38,,419.2576572901995
Goonyella (CQCA/BMA),coking_coal,1975,1971,4,15,50,5.0,15,0,,,1971,1,1,4.0,26.84,17.3,,388.5307902185058
Goonyella (CQCA/BMA),coking_coal,1976,1971,5,15,50,5.0,15,0,,,1971,1,1,5.0,27.16,22.72,,362.4077583833099
Goonyella (CQCA/BMA),coking_coal,1977,1971,6,15,50,5.0,15,0,,,1971,1,1,6.0,28.67851851852,23.06,2.77116287282,297.7406928140977
Goonyella (CQCA/BMA),coking_coal,1978,1971,7,15,50,5.0,15,0,,,1971,1,1,7.0,29.05865740741,21.45,3.03608084204,240.8738497381832
Goonyella (CQCA/BMA),coking_coal,1979,1971,8,15,50,5.0,15,0,,,1971,1,1,8.0,30.89,23.5,3.69242291557,244.9474377505246
Goonyella (CQCA/BMA),coking_coal,1980,1971,9,15,50,5.0,15,0,,,1971,1,1,9.0,40.14083333333,28.09,5.69622732832,258.1751170889136
Goonyella (CQCA/BMA),coking_coal,1981,1971,10,15,50,5.0,15,0,,,1971,1,1,10.0,53.62,28.09,6.03034143534,253.4269567644115
Goonyella (CQCA/BMA),coking_coal,1982,1971,11,15,50,5.0,15,0,,,1971,1,1,11.0,54.7675,32.5,6.05162239889,252.64839944956657
Goonyella (CQCA/BMA),coking_coal,1983,1971,12,15,50,5.0,15,0,,,1971,1,1,12.0,38.1875,29.0,5.54581574773,213.9715831267073
Goonyella (CQCA/BMA),coking_coal,1984,1971,13,15,50,5.0,15,0,,,1971,1,1,13.0,30.95833333333,26.15,5.23768078193,208.4409873073626
Goonyella (CQCA/BMA),coking_coal,1985,1971,14,15,50,5.0,15,0,,,1971,1,1,14.0,33.75,26.56,5.23,166.58751753169312
Goonyella (CQCA/BMA),coking_coal,1986,1971,15,15,50,5.0,15,0,,,1971,1,1,15.0,31.125,26.26,4.1,112.64889268558773
Goonyella (CQCA/BMA),coking_coal,1987,1971,16,15,50,5.0,15,0,,,1971,1,1,16.0,27.5,25.3,3.35,101.27399907574674
Goonyella (CQCA/BMA),coking_coal,1988,1971,17,15,50,5.0,15,0,,,1971,1,1,17.0,34.875,24.3,3.34,100.12566004075865
Goonyella (CQCA/BMA),coking_coal,1989,1971,18,15,50,5.0,15,0,,,1971,1,1,18.0,38.0,27.83,3.28,109.09756470442484
Goonyella (CQCA/BMA),coking_coal,1990,1971,19,15,50,5.0,15,0,,,1971,1,1,19.0,39.66666666667,32.5,3.64,113.02583544313649
Goonyella (CQCA/BMA),coking_coal,1991,1971,20,15,50,5.0,15,0,,,1971,1,1,20.0,39.66666666667,34.76,3.99,104.93168807412157
Goonyella (CQCA/BMA),coking_coal,1992,1971,21,15,50,5.0,15,0,,,1971,1,1,21.0,38.5625,33.1,3.59511258333,93.0132474243839
Goonyella (CQCA/BMA),coking_coal,1993,1971,22,15,50,5.0,15,0,,,1971,1,1,22.0,31.33333333333,29.09,3.50659875,75.61594619283333
Goonyella (CQCA/BMA),coking_coal,1994,1971,23,15,50,5.0,15,0,,,1971,1,1,23.0,32.3,26.47,3.18,74.72691907212626
Goonyella (CQCA/BMA),coking_coal,1995,1971,24,15,50,5.0,15,0,,,1971,1,1,24.0,39.37166666667,28.38,3.44916666667,69.72373101957639
Goonyella (CQCA/BMA),coking_coal,1996,1971,25,15,50,5.0,15,0,,,1971,1,1,25.0,38.07416666667,30.0,3.6675,85.1257359289861
Goonyella (CQCA/BMA),coking_coal,1997,1971,26,15,50,5.0,15,0,,,1971,1,1,26.0,35.09916666667,30.15,3.90833333333,89.79713406759785
Goonyella (CQCA/BMA),coking_coal,1998,1971,27,15,50,5.0,15,0,,,1971,1,1,27.0,29.23083333333,31.0,3.01916666667,82.23581521039262
Goonyella (CQCA/BMA),coking_coal,1999,1971,28,15,50,5.0,15,0,,,1971,1,1,28.0,25.89166666667,27.59,3.1375,73.49063195586955
Goonyella (CQCA/BMA),coking_coal,2000,1971,29,15,50,5.0,15,0,,,1971,1,1,29.0,26.25,28.79,4.7125,62.47903074318547
Goonyella (CQCA/BMA),coking_coal,2001,1971,30,15,50,5.0,50,1,,,1971,1,1,30.0,32.3125,30.03,4.63416666667,62.85625122029748
Goonyella (CQCA/BMA),coking_coal,2002,1971,31,15,50,5.0,50,0,,,1971,1,1,31.0,25.309375,29.31,4.28166666667,68.12483638380495
Goonyella (CQCA/BMA),coking_coal,2003,1971,32,15,50,5.0,50,0,,,1971,1,1,32.0,26.090625,31.95,4.73083333333,75.18801414043264
Goonyella (CQCA/BMA),coking_coal,2004,1971,33,15,50,5.0,50,0,,,1971,1,1,33.0,52.94791666667,37.9,5.1275,79.56783985811168
Goonyella (CQCA/BMA),coking_coal,2005,1971,34,15,50,5.0,50,0,,,1971,1,1,34.0,47.62090277778,65.0,5.99,84.16987872987151
Goonyella (CQCA/BMA),coking_coal,2006,1971,35,15,50,5.0,50,0,,,1971,1,1,35.0,49.08958333333,69.33333333333,7.075,87.57653437924084
Goonyella (CQCA/BMA),coking_coal,2007,1971,36,15,50,5.0,50,0,,,1971,1,1,36.0,65.733125,122.9875,7.68333333333,98.53254021548231
Goonyella (CQCA/BMA),coking_coal,2008,1971,37,15,50,5.0,50,0,,,1971,1,1,37.0,127.10416666667,155.99333333333,12.52666666667,86.69801411275519
Goonyella (CQCA/BMA),coking_coal,2009,1971,38,15,50,5.0,50,0,,,1971,1,1,38.0,71.84416666667,79.97916666667,8.93583333333,72.97684112597862
Goonyella (CQCA/BMA),coking_coal,2010,1971,39,15,50,5.0,50,0,,,1971,1,1,39.0,98.96604166667,145.86318542569,10.84833333333,80.5202138734196
Hail Creek,coking_coal,2003,2003,0,18,18,5.5,18,0,5.5,,2003,1,1,0.0,26.090625,31.95,4.73083333333,75.18801414043264
Hail Creek,coking_coal,2004,2003,1,18,18,5.5,18,0,,,2003,1,1,1.0,52.94791666667,37.9,5.1275,79.56783985811168
Hail Creek,coking_coal,2005,2003,2,18,18,5.5,18,0,,,2003,1,1,2.0,47.62090277778,65.0,5.99,84.16987872987151
Hail Creek,coking_coal,2006,2003,3,18,18,5.5,18,0,,,2003,1,1,3.0,49.08958333333,69.33333333333,7.075,87.57653437924084
Hail Creek,coking_coal,2007,2003,4,18,18,5.5,18,0,,,2003,1,1,4.0,65.733125,122.9875,7.68333333333,98.53254021548231
Hail Creek,coking_coal,2008,2003,5,18,18,5.5,18,0,,,2003,1,1,5.0,127.10416666667,155.99333333333,12.52666666667,86.69801411275519
Hail Creek,coking_coal,2009,2003,6,18,18,5.5,18,0,,,2003,1,1,6.0,71.84416666667,79.97916666667,8.93583333333,72.97684112597862
Hail Creek,coking_coal,2010,2003,7,18,18,5.5,18,0,,,2003,1,1,7.0,98.96604166667,145.86318542569,10.84833333333,80.5202138734196
Mount Newman,iron_ore,1969,1969,0,10,15,15.0,10,0,15.0,,1969,1,1,0.0,,9.84,,403.20006496247447
Mount Newman,iron_ore,1970,1969,1,10,15,15.0,10,0,,,1969,1,1,1.0,7.8,9.84,,403.20006496247447
Mount Newman,iron_ore,1971,1969,2,10,15,15.0,10,0,,,1969,1,1,2.0,8.68,10.33,,397.29184238430673
Mount Newman,iron_ore,1972,1969,3,10,15,15.0,10,0,,,1969,1,1,3.0,9.6,10.33,,361.4800198281875
Mount Newman,iron_ore,1973,1969,4,10,15,15.0,10,0,,,1969,1,1,4.0,11.48,10.33,,385.8774320346885
Mount Newman,iron_ore,1974,1969,5,10,15,15.0,10,0,,,1969,1,1,5.0,16.89,13.38,,419.2576572901995
Mount Newman,iron_ore,1975,1969,6,10,15,15.0,10,0,,,1969,1,1,6.0,26.84,17.3,,388.5307902185058
Mount Newman,iron_ore,1976,1969,7,10,15,15.0,10,0,,,1969,1,1,7.0,27.16,22.72,,362.4077583833099
Mount Newman,iron_ore,1977,1969,8,10,15,15.0,10,0,,,1969,1,1,8.0,28.67851851852,23.06,2.77116287282,297.7406928140977
Mount Newman,iron_ore,1978,1969,9,10,15,15.0,10,0,,,1969,1,1,9.0,29.05865740741,21.45,3.03608084204,240.8738497381832
Mount Newman,iron_ore,1979,1969,10,10,15,15.0,10,0,,,1969,1,1,10.0,30.89,23.5,3.69242291557,244.9474377505246
Mount Newman,iron_ore,1980,1969,11,10,15,15.0,10,0,,,1969,1,1,11.0,40.14083333333,28.09,5.69622732832,258.1751170889136
