year,electricity_generation,renewables_electricity,renewables_share_elec,renewables_share_energy,solar_electricity,wind_electricity,hydro_electricity,biofuel_electricity,fossil_electricity,coal_electricity,gas_electricity,primary_energy_consumption,energy_per_gdp,greenhouse_gas_emissions,aus_energy_imports_pct_use,aus_energy_use_per_capita_kgoe,aus_exports_goods_services_current_usd,aus_gdp_constant_2015_usd,aus_gdp_current_usd,aus_industry_value_added_current_usd,jpn_energy_imports_pct_use,jpn_energy_use_per_capita_kgoe,jpn_exports_goods_services_current_usd,jpn_gdp_constant_2015_usd,jpn_gdp_current_usd,jpn_industry_value_added_current_usd,jpy_per_usd,aud_per_usd,jpy_per_aud,fdi_flow_usd_million,fdi_stock_usd_million
2005,230.74,20.72,8.98,4.095,0.08,1.3,15.47,3.87,210.02,182.98,23.26,1410.35,1.679,182.7,-131.07466643319,5624.49561264785,126785667301.888,1028467016034.95,696811489612.816,170881303819.973,83.4649315674778,4066.44200433533,667510447457.861,4229100705435.58,4831467035389.8,1443241678779.0,110.218211666667,1.30947333333333,84.16987872987151,639.8881025073815,10618.259396158324
2006,237.99,21.14,8.883,4.024,0.1,2.16,14.95,3.93,216.85,185.76,27.29,1470.838,1.697,188.13,-123.806910241922,5775.11675226564,148587374344.676,1056965077770.63,749708370332.989,191079950703.73,82.3651990491479,4064.36044717698,720499607478.291,4287138774362.24,4601663122649.92,1365109678218.18,116.299311666667,1.3279734405,87.57653437924084,465.65238461975696,12181.17129197898
2007,243.19,20.29,8.343,3.786,0.11,2.85,13.05,4.28,222.9,185.49,33.4,1506.167,1.653,192.4,-127.764290888944,5853.76413229662,172570464002.512,1097018464974.4,856603595823.192,219047656434.011,84.3107714036557,4020.80546615948,791798969881.999,4350758602405.54,4579750920354.81,1355482427273.92,117.753529166667,1.1950725,98.53254021548231,4139.820629754716,17940.099999524486
2008,245.38,19.12,7.792,3.499,0.14,3.46,11.82,3.7,226.26,184.24,36.31,1531.745,1.633,194.22,-123.534610231999,5951.19291532561,212794797279.029,1136774249983.46,1058448244063.77,270000376022.647,84.2147770328816,3867.13557310575,880163893981.685,4297492743392.88,5106679115127.3,1469854246585.95,103.359493968254,1.19217833333333,86.69801411275519,5232.195316469931,19106.598108519163
2009,249.9,20.16,8.067,3.722,0.29,4.44,12.64,2.79,229.74,182.02,41.12,1509.545,1.567,196.2,-128.476617177707,5843.93312947132,213717313259.647,1158996461663.32,931761689770.843,251366518528.99,80.6163392901148,3709.02326188514,656932075524.126,4052826324003.77,5289493117993.89,1434045704771.08,93.5700890870456,1.28218881008452,72.97684112597862,7136.41091229557,32557.208434768698
2010,250.97,22.16,8.83,4.088,0.98,4.99,13.75,2.44,228.81,176.02,46.79,1508.838,1.518,194.67,-146.708346775748,5762.9435664152,227427026265.26,1184610839239.74,1152566632022.13,289389081684.782,81.7425349206212,3900.21212768124,859167320527.627,4218907820178.57,5759071769013.11,1631888858351.64,87.779875,1.09015948638677,80.5202138734196,6370.941902875049,39856.027484159975
2011,256.28,30.61,11.944,5.392,2.04,6.43,19.57,2.57,225.67,171.98,48.78,1558.602,1.522,192.06,-141.942926034157,5698.65597309349,299823615768.297,1212979128949.21,1402939868653.4,371238031950.293,90.8195974217069,3620.18019068219,920913976671.968,4219912322040.1,6233147172341.35,1664339807191.07,79.8070198321892,0.969463201496735,82.32083457007623,8148.808199600808,49417.00458604525
2012,250.66,30.27,12.076,5.4,2.41,7.72,17.04,3.1,220.39,165.38,49.81,1536.113,1.446,187.24,-149.195380388504,5533.72233837943,332613569102.522,1260921781880.75,1552728401401.58,408884860409.049,96.1222197111632,3536.70253450885,904146988796.653,4277925608846.49,6272362996105.03,1666105291732.24,79.7904554170065,0.965801030658708,82.61583171285993,10890.081528515444,61343.93269181569
2013,249.56,35.53,14.237,6.173,3.85,9.26,19.09,3.33,214.03,155.45,52.72,1555.586,1.432,181.22,-164.691774053304,5533.38146350965,315055128030.195,1294392358274.42,1583737461925.39,398842347273.248,95.6729767272549,3567.33780517627,822722049495.078,4363702302793.37,5212328181166.18,1389124295000.15,97.5956582776385,1.03584309652054,94.21857287601593,5834.879970515765,54112.47630632685
2014,247.65,32.76,13.228,5.663,4.95,9.78,14.48,3.55,214.89,155.23,53.66,1566.458,1.406,181.82,-185.555789490717,5407.4382264583,309621975144.753,1328061960035.21,1474677007565.64,377072838890.74,95.5684274026895,3445.81632921551,852990577902.813,4376627829634.98,4896994405353.29,1337546773110.89,105.944781034025,1.10936329281692,95.500528744743,4603.557569532266,62594.75506599332
