year,sector,measure,value_aud_million
2015,coal_mining,iva,15597.0
2016,coal_mining,iva,15606.0
2017,coal_mining,iva,29739.0
2018,coal_mining,iva,38341.0
2019,coal_mining,iva,43124.0
2020,coal_mining,iva,34319.0
2021,coal_mining,iva,16922.0
2022,coal_mining,iva,63579.0
2023,coal_mining,iva,99336.0
2024,coal_mining,iva,59446.0
2007,coal_mining,iva,15306.0
2008,coal_mining,iva,14332.0
2009,coal_mining,iva,38190.0
2010,coal_mining,iva,22785.0
2011,coal_mining,iva,27111.0
2012,coal_mining,iva,25952.0
2013,coal_mining,iva,17426.0
2014,coal_mining,iva,18840.0
2015,coal_mining,purchases,10229.0
2016,coal_mining,purchases,10812.0
2017,coal_mining,purchases,11609.0
2018,coal_mining,purchases,13076.0
2019,coal_mining,purchases,14874.0
2020,coal_mining,purchases,16194.0
2021,coal_mining,purchases,14972.0
2022,coal_mining,purchases,17890.0
2023,coal_mining,purchases,27086.0
2024,coal_mining,purchases,27692.0
2007,coal_mining,purchases,3816.0
2008,coal_mining,purchases,4740.0
2009,coal_mining,purchases,6570.0
2010,coal_mining,purchases,6502.0
2011,coal_mining,purchases,
2012,coal_mining,purchases,10819.0
2013,coal_mining,purchases,10938.0
2014,coal_mining,purchases,10057.0
2015,coal_mining,total_expenses,47898.0
2016,coal_mining,total_expenses,46401.0
2017,coal_mining,total_expenses,48384.0
2018,coal_mining,total_expenses,51371.0
2019,coal_mining,total_expenses,56106.0
2020,coal_mining,total_expenses,59453.0
2021,coal_mining,total_expenses,57034.0
2022,coal_mining,total_expenses,67354.0
2023,coal_mining,total_expenses,90574.0
2024,coal_mining,total_expenses,91902.0
2007,coal_mining,total_expenses,23171.0
2008,coal_mining,total_expenses,24482.0
2009,coal_mining,total_expenses,36389.0
2010,coal_mining,total_expenses,35331.0
2011,coal_mining,total_expenses,42880.0
2012,coal_mining,total_expenses,50975.0
2013,coal_mining,total_expenses,49305.0
2014,coal_mining,total_expenses,49258.0
2015,coal_mining,sales_income,45930.0
2016,coal_mining,sales_income,43988.0
2017,coal_mining,sales_income,57636.0
2018,coal_mining,sales_income,69759.0
2019,coal_mining,sales_income,78373.0
2020,coal_mining,sales_income,71540.0
2021,coal_mining,sales_income,53906.0
2022,coal_mining,sales_income,105696.0
2023,coal_mining,sales_income,152698.0
2024,coal_mining,sales_income,115667.0
2007,coal_mining,sales_income,29242.0
2008,coal_mining,sales_income,28737.0
2009,coal_mining,sales_income,59399.0
2010,coal_mining,sales_income,45045.0
2011,coal_mining,sales_income,54715.0
2012,coal_mining,sales_income,58816.0
2013,coal_mining,sales_income,49333.0
2014,coal_mining,sales_income,49012.0
2015,coal_mining,ebitda,5668.0
2016,coal_mining,ebitda,5815.0
2017,coal_mining,ebitda,18580.0
2018,coal_mining,ebitda,26358.0
2019,coal_mining,ebitda,30092.0
2020,coal_mining,ebitda,22036.0
2021,coal_mining,ebitda,6359.0
2022,coal_mining,ebitda,47552.0
2023,coal_mining,ebitda,73672.0
2024,coal_mining,ebitda,35803.0
2007,coal_mining,ebitda,9819.0
2008,coal_mining,ebitda,8949.0
2009,coal_mining,ebitda,29188.0
2010,coal_mining,ebitda,14883.0
2011,coal_mining,ebitda,17554.0
2012,coal_mining,ebitda,14481.0
2013,coal_mining,ebitda,6376.0
2014,coal_mining,ebitda,8022.0
2015,coal_mining,opbt,-4088.0
2016,coal_mining,opbt,-8354.0
2017,coal_mining,opbt,12742.0
2018,coal_mining,opbt,24234.0
2019,coal_mining,opbt,30995.0
2020,coal_mining,opbt,16409.0
2021,coal_mining,opbt,-3741.0
2022,coal_mining,opbt,41519.0
2023,coal_mining,opbt,73315.0
2024,coal_mining,opbt,29151.0
2007,coal_mining,opbt,7939.0
2008,coal_mining,opbt,7653.0
2009,coal_mining,opbt,28636.0
2010,coal_mining,opbt,12674.0
2011,coal_mining,opbt,16243.0
2012,coal_mining,opbt,14430.0
2013,coal_mining,opbt,2014.0
2014,coal_mining,opbt,989.0
2015,oil_gas_extraction,iva,32204.0
2016,oil_gas_extraction,iva,24868.0
2017,oil_gas_extraction,iva,23871.0
2018,oil_gas_extraction,iva,32764.0
2019,oil_gas_extraction,iva,51773.0
2020,oil_gas_extraction,iva,54090.0
2021,oil_gas_extraction,iva,36700.0
