year,energy_iva_aud_million,metal_ore_iva_aud_million,mining_total_iva_aud_million,energy_share_of_mining_iva,energy_purchases_aud_million,metal_ore_purchases_aud_million,mining_total_purchases_aud_million,energy_share_of_mining_purchases,energy_total_expenses_aud_million,metal_ore_total_expenses_aud_million,mining_total_total_expenses_aud_million,energy_share_of_mining_total_expenses,energy_sales_income_aud_million,metal_ore_sales_income_aud_million,mining_total_sales_income_aud_million,energy_share_of_mining_sales_income,energy_ebitda_aud_million,metal_ore_ebitda_aud_million,mining_total_ebitda_aud_million,energy_share_of_mining_ebitda,energy_opbt_aud_million,metal_ore_opbt_aud_million,mining_total_opbt_aud_million,energy_share_of_mining_opbt
2007,37684.0,27629.0,71005.0,0.5307231885078516,4548.0,5521.0,13030.0,0.34904067536454336,37380.0,27745.0,81074.0,0.4610602659298912,55420.0,43279.0,113624.0,0.4877490670985003,26933.0,21011.0,48741.0,0.5525738084979791,21548.0,19077.0,40984.0,0.5257661526449346
2008,38040.0,27301.0,72133.0,0.5273591837300542,6493.0,7266.0,17689.0,0.36706427723443946,41593.0,34212.0,92813.0,0.4481376531304882,57546.0,47316.0,121301.0,0.47440664133024457,27048.0,19936.0,48544.0,0.5571852340145023,24969.0,19391.0,45555.0,0.5481066842278565
2009,66997.0,33321.0,106911.0,0.6266614286649643,7987.0,9125.0,22740.0,0.351231310466139,56048.0,42985.0,123175.0,0.45502740004059267,93640.0,58335.0,172287.0,0.5435116985030791,50850.0,23738.0,73616.0,0.6907465768311236,55642.0,10586.0,63155.0,0.8810387142744043
2010,44678.0,36356.0,88461.0,0.5050587264444218,7777.0,7960.0,19471.0,0.39941451389245547,54320.0,41047.0,115595.0,0.4699165188805744,72682.0,59586.0,151305.0,0.4803674696804468,31246.0,26360.0,58677.0,0.532508478620243,24305.0,26039.0,50343.0,0.4827880738136384
2011,54191.0,63922.0,126276.0,0.42914726472172066,0.0,9488.0,24686.0,0.0,65112.0,48078.0,133966.0,0.48603376976247703,88662.0,89100.0,197673.0,0.44852863061723147,37859.0,50965.0,90738.0,0.41723423482995,36442.0,47942.0,85156.0,0.42794400864296117
2012,53735.0,69730.0,132692.0,0.40496035932836943,13762.0,12207.0,30905.0,0.4453001132502831,74555.0,58265.0,157299.0,0.4739699553080439,93686.0,101149.0,217377.0,0.43098395874448536,35106.0,53995.0,89949.0,0.3902878297702031,33359.0,49895.0,82135.0,0.4061484141961405
2013,46517.0,57700.0,113665.0,0.40924646988958785,16388.0,17955.0,38711.0,0.4233422024747488,78131.0,67313.0,168949.0,0.46245316634013817,89017.0,94490.0,205203.0,0.43379970078410157,27750.0,39386.0,67964.0,0.40830439644517685,28505.0,27297.0,54374.0,0.5242395262441608
2014,47794.0,69962.0,127692.0,0.37429126335244184,15816.0,16245.0,36578.0,0.4323910547323528,78095.0,75927.0,178831.0,0.43669721692547714,87940.0,110326.0,221578.0,0.39688055673397177,28091.0,47845.0,77779.0,0.36116432456061404,17805.0,34190.0,52208.0,0.34103968740422924
2015,47801.0,60748.0,117829.0,0.4056811141569563,16251.0,16449.0,37041.0,0.4387300558840204,79217.0,77489.0,179590.0,0.44109917033242385,87299.0,104098.0,213356.0,0.4091705881250117,29262.0,42194.0,73112.0,0.4002352554984134,-1380.0,20077.0,16295.0,-0.08468855477140227
2016,40474.0,53068.0,102103.0,0.3964036316268866,17215.0,15724.0,37122.0,0.4637411777382684,78865.0,74166.0,173047.0,0.4557432373863748,78624.0,91722.0,190300.0,0.41315817130846033,22761.0,35176.0,60167.0,0.37829707314640915,-10451.0,17652.0,6898.0,-1.5150768338648883
