year,petroleum_exp_aud_million,all_minerals,coal,gold,iron_ore,uranium,energy_exploration_aud_million
1975,64.0,92.6,0.0,0.0,0.0,0.0,64.0
1976,54.3,106.4,0.0,0.0,0.0,0.0,54.3
1977,87.6,140.8,0.0,0.0,0.0,0.0,87.6
1978,118.8,154.3,0.0,0.0,0.0,0.0,118.8
1979,228.3,201.6,0.0,0.0,0.0,0.0,228.3
1980,361.0,340.0,0.0,0.0,0.0,0.0,361.0
1981,501.4,448.2,0.0,0.0,0.0,0.0,501.4
1982,1010.8000000000001,430.4,0.0,0.0,0.0,0.0,1010.8000000000001
1983,826.0,328.9,0.0,0.0,0.0,0.0,826.0
1984,783.3,369.5,0.0,0.0,0.0,0.0,783.3
1985,820.1,306.9,0.0,0.0,0.0,0.0,820.1
1986,498.1,342.0,0.0,0.0,0.0,0.0,498.1
1987,405.2,568.5,0.0,0.0,0.0,0.0,405.2
1988,587.8,781.9,14.4,248.9,4.0,19.6,602.1999999999999
1989,568.4,636.5,34.1,384.3,8.5,20.0,602.5
1990,618.0,602.1,27.3,311.0,12.9,16.0,645.3
1991,541.0,608.8,21.4,310.20000000000005,24.6,11.8,562.4
1992,526.5,621.8,30.0,305.2,33.2,10.9,556.5
1993,554.8,692.7,23.4,372.5,22.4,8.0,578.1999999999999
1994,594.8,854.5,35.5,523.9,9.1,6.6,630.3
1995,699.5,891.3,41.5,549.1999999999999,12.6,8.4,741.0
1996,747.9,1069.7,60.2,623.0,18.0,5.699999999999999,808.1
1997,704.5,1166.6,78.6,736.6,26.2,18.4,783.1
1998,1012.8,958.5,43.4,561.9,46.0,22.1,1056.2
1999,793.6,719.3,39.6,405.2,24.1,13.0,833.2
2000,784.3,676.4,35.1,371.7,19.6,2.9,819.4
2001,1063.9,664.4,49.0,350.7,20.1,6.2,1112.9
2002,871.9,678.2,61.2,355.2,37.0,8.1,933.1
2003,1025.4,736.3,84.7,373.7,52.1,8.9,1110.1000000000001
2004,922.3,919.4,96.9,414.0,97.9,14.799999999999999,1019.1999999999999
2005,1156.2,1136.1,145.6,384.1,152.2,37.7,1301.8
2006,1686.6,1463.9,198.7,429.8,224.7,80.7,1885.3
2007,2660.7,2061.1,192.6,502.9,354.1,181.39999999999998,2853.2999999999997
2008,3361.3,2608.3,276.3,569.9,583.0,220.5,3637.6000000000004
2009,3640.7,2023.1999999999998,312.7,463.3,521.2,179.6,3953.3999999999996
2010,3569.4,2490.2,361.8,624.1,553.3,190.0,3931.2000000000003
2011,3292.6,3573.3,757.4,708.8,905.3,189.6,4050.0
2012,4002.3999999999996,3655.7999999999997,709.0,740.9,1163.0,98.3,4711.4
2013,4529.4,2522.6,440.2,553.4,858.8,52.300000000000004,4969.599999999999
2014,4738.9,1839.5,341.0,377.3,592.2,39.5,5079.9
2015,2723.3,1438.6,213.2,475.9,316.4,44.0,2936.5
2016,1401.6999999999998,1426.9,124.2,617.6,288.0,23.4,1525.8999999999999
2017,1214.2,1753.8,124.0,749.6,290.5,19.8,1338.2
2018,1159.7,2183.6,173.6,892.1,300.9,12.3,1333.3
2019,1384.7,2648.4,229.3,1068.0,349.6,10.2,1614.0
2020,994.7,2808.8,291.6,1316.3,395.1,6.7,1286.3000000000002
2021,1131.1000000000001,3596.1,226.2,1598.7,557.4,12.3,1357.3000000000002
2022,970.8,4060.1,241.2,1525.1,715.0,22.1,1212.0
2023,1060.9,4260.6,322.3,1242.5,695.9,55.0,1383.2
2024,1415.8,3942.7,322.0,1192.2,769.7,71.5,1737.8
2025,1607.6,3949.3,242.2,1597.1,793.8,58.8,1849.8
