year,quarter,mineral,expenditure_aud_million
1974,1,all_minerals,18.4
1974,2,all_minerals,23.0
1974,3,all_minerals,25.8
1974,4,all_minerals,31.7
1975,1,all_minerals,22.8
1975,2,all_minerals,25.0
1975,3,all_minerals,22.4
1975,4,all_minerals,22.4
1976,1,all_minerals,17.0
1976,2,all_minerals,22.6
1976,3,all_minerals,28.8
1976,4,all_minerals,38.0
1977,1,all_minerals,25.5
1977,2,all_minerals,33.1
1977,3,all_minerals,38.4
1977,4,all_minerals,43.8
1978,1,all_minerals,29.5
1978,2,all_minerals,38.2
1978,3,all_minerals,40.2
1978,4,all_minerals,46.4
1979,1,all_minerals,35.4
1979,2,all_minerals,49.0
1979,3,all_minerals,51.3
1979,4,all_minerals,65.9
1980,1,all_minerals,56.1
1980,2,all_minerals,79.9
1980,3,all_minerals,95.7
1980,4,all_minerals,108.3
1981,1,all_minerals,79.3
1981,2,all_minerals,111.1
1981,3,all_minerals,124.5
1981,4,all_minerals,133.3
1982,1,all_minerals,103.2
1982,2,all_minerals,119.6
1982,3,all_minerals,99.9
1982,4,all_minerals,107.7
1983,1,all_minerals,65.0
1983,2,all_minerals,77.5
1983,3,all_minerals,82.7
1983,4,all_minerals,103.7
1984,1,all_minerals,73.3
1984,2,all_minerals,91.7
1984,3,all_minerals,92.7
1984,4,all_minerals,111.8
1985,1,all_minerals,68.7
1985,2,all_minerals,77.8
1985,3,all_minerals,76.3
1985,4,all_minerals,84.1
1986,1,all_minerals,63.6
1986,2,all_minerals,93.1
1986,3,all_minerals,88.6
1986,4,all_minerals,96.7
1987,1,all_minerals,75.7
1987,2,all_minerals,96.8
1987,3,all_minerals,181.6
1987,4,all_minerals,214.4
1988,1,all_minerals,183.7
1988,2,all_minerals,221.2
1988,3,all_minerals,181.9
1988,3,coal,6.9
1988,3,gold,122.4
1988,3,iron_ore,2.4
1988,3,uranium,8.9
1988,4,all_minerals,195.1
1988,4,coal,7.5
1988,4,gold,126.5
1988,4,iron_ore,1.6
1988,4,uranium,10.7
1989,1,all_minerals,150.4
1989,1,coal,6.2
1989,1,gold,94.3
1989,1,iron_ore,1.5
1989,1,uranium,4.1
1989,2,all_minerals,170.2
1989,2,coal,8.4
1989,2,gold,105.4
1989,2,iron_ore,1.6
1989,2,uranium,4.6
1989,3,all_minerals,150.8
1989,3,coal,8.5
1989,3,gold,88.7
1989,3,iron_ore,2.2
1989,3,uranium,5.9
1989,4,all_minerals,165.1
1989,4,coal,11.0
1989,4,gold,95.9
1989,4,iron_ore,3.2
1989,4,uranium,5.4
1990,1,all_minerals,129.5
1990,1,coal,8.0
1990,1,gold,67.9
1990,1,iron_ore,2.5
1990,1,uranium,1.9
1990,2,all_minerals,162.1
1990,2,coal,5.9
1990,2,gold,88.7
1990,2,iron_ore,3.4
1990,2,uranium,5.6
1990,3,all_minerals,143.7
1990,3,coal,7.4
1990,3,gold,67.0
1990,3,iron_ore,4.5
1990,3,uranium,5.0
1990,4,all_minerals,166.8
1990,4,coal,6.0
1990,4,gold,87.4
1990,4,iron_ore,2.5
1990,4,uranium,3.5
1991,1,all_minerals,126.6
1991,1,coal,4.6
1991,1,gold,63.2
1991,1,iron_ore,1.7
1991,1,uranium,1.6
1991,2,all_minerals,164.6
1991,2,coal,5.1
1991,2,gold,88.2
1991,2,iron_ore,2.5
1991,2,uranium,2.7
1991,3,all_minerals,153.4
1991,3,coal,5.4
1991,3,gold,79.4
1991,3,iron_ore,8.0
1991,3,uranium,3.4
1991,4,all_minerals,164.2
1991,4,coal,6.3
1991,4,gold,79.4
1991,4,iron_ore,12.4
1991,4,uranium,4.1
1992,1,all_minerals,125.3
1992,1,coal,8.3
1992,1,gold,67.8
1992,1,iron_ore,6.3
1992,1,uranium,2.1
1992,2,all_minerals,161.0
1992,2,coal,7.5
1992,2,gold,78.1
1992,2,iron_ore,10.2
1992,2,uranium,3.2
1992,3,all_minerals,160.9
1992,3,coal,7.1
1992,3,gold,75.5
1992,3,iron_ore,9.5
1992,3,uranium,3.1
1992,4,all_minerals,174.6
1992,4,coal,7.1
1992,4,gold,83.8
1992,4,iron_ore,7.2
1992,4,uranium,2.5
1993,1,all_minerals,123.0
1993,1,coal,3.8
1993,1,gold,69.7
1993,1,iron_ore,2.8
1993,1,uranium,1.3
1993,2,all_minerals,173.3
1993,2,coal,6.2
1993,2,gold,91.1
1993,2,iron_ore,4.5
1993,2,uranium,1.9
1993,3,all_minerals,187.5
1993,3,coal,6.4
1993,3,gold,100.1
1993,3,iron_ore,6.1
1993,3,uranium,2.6
1993,4,all_minerals,208.9
1993,4,coal,7.0
1993,4,gold,111.6
