year,quarter,capex_aud_million
1987,2,1007.0
1987,3,1018.0
1987,4,1003.0
1988,1,1024.0
1988,2,981.0
1988,3,959.0
1988,4,1009.0
1989,1,1051.0
1989,2,1005.0
1989,3,1063.0
1989,4,1018.0
1990,1,985.0
1990,2,1033.0
1990,3,1171.0
1990,4,1144.0
1991,1,1176.0
1991,2,1133.0
1991,3,1069.0
1991,4,1036.0
1992,1,984.0
1992,2,1169.0
1992,3,1311.0
1992,4,1301.0
1993,1,1438.0
1993,2,1498.0
1993,3,1408.0
1993,4,1455.0
1994,1,1399.0
1994,2,1376.0
1994,3,1399.0
1994,4,1681.0
1995,1,1696.0
1995,2,1645.0
1995,3,1757.0
1995,4,1814.0
1996,1,1874.0
1996,2,2219.0
1996,3,2096.0
1996,4,2139.0
1997,1,2451.0
1997,2,2327.0
1997,3,2648.0
1997,4,2853.0
1998,1,2889.0
1998,2,2975.0
1998,3,2702.0
1998,4,2282.0
1999,1,2227.0
1999,2,1862.0
1999,3,1959.0
1999,4,1249.0
2000,1,1178.0
2000,2,1298.0
2000,3,1138.0
2000,4,1285.0
2001,1,1625.0
2001,2,1701.0
2001,3,1851.0
2001,4,1812.0
2002,1,1909.0
2002,2,2033.0
2002,3,2119.0
2002,4,2277.0
2003,1,2322.0
2003,2,2486.0
2003,3,2529.0
2003,4,2586.0
2004,1,2363.0
2004,2,2290.0
2004,3,2603.0
2004,4,2480.0
2005,1,2651.0
2005,2,3084.0
2005,3,3882.0
2005,4,4477.0
2006,1,5431.0
2006,2,5843.0
2006,3,5235.0
2006,4,5651.0
2007,1,6063.0
2007,2,6614.0
2007,3,6549.0
2007,4,6848.0
2008,1,7426.0
2008,2,8328.0
2008,3,9071.0
2008,4,10076.0
2009,1,10038.0
2009,2,8845.0
2009,3,8339.0
2009,4,8532.0
2010,1,8963.0
2010,2,9407.0
2010,3,10746.0
2010,4,10615.0
2011,1,11716.0
2011,2,13809.0
2011,3,17611.0
2011,4,18413.0
2012,1,21891.0
2012,2,24300.0
2012,3,23912.0
2012,4,24102.0
2013,1,23089.0
2013,2,23627.0
2013,3,24288.0
2013,4,22930.0
2014,1,21300.0
2014,2,21876.0
2014,3,20785.0
2014,4,19711.0
2015,1,18684.0
2015,2,16929.0
2015,3,14838.0
2015,4,15087.0
2016,1,12609.0
2016,2,10721.0
2016,3,10026.0
2016,4,9819.0
2017,1,9481.0
2017,2,9376.0
2017,3,9344.0
2017,4,9123.0
2018,1,9053.0
2018,2,8806.0
2018,3,8471.0
2018,4,8321.0
2019,1,8129.0
2019,2,8386.0
2019,3,8755.0
2019,4,8576.0
2020,1,8911.0
2020,2,8914.0
2020,3,8754.0
2020,4,8617.0
2021,1,8970.0
2021,2,9131.0
2021,3,9591.0
2021,4,10270.0
2022,1,10691.0
2022,2,11121.0
2022,3,10842.0
2022,4,11481.0
2023,1,11998.0
2023,2,12445.0
2023,3,13236.0
2023,4,13379.0
2024,1,12771.0
2024,2,13136.0
2024,3,12970.0
2024,4,13185.0
2025,1,13553.0
2025,2,13536.0
2025,3,13672.0
2025,4,13596.0
