year,capex_aud_million
1988,3973.0
1989,4137.0
1990,4333.0
1991,4414.0
1992,4765.0
1993,5799.0
1994,5855.0
1995,6912.0
1996,8328.0
1997,10279.0
1998,10848.0
1999,7297.0
2000,4899.0
2001,6989.0
2002,8338.0
2003,9923.0
2004,9736.0
2005,14094.0
2006,22160.0
2007,26074.0
2008,34901.0
2009,35754.0
2010,39731.0
2011,61549.0
2012,94205.0
2013,93934.0
2014,83672.0
2015,65538.0
2016,43175.0
2017,37324.0
2018,34651.0
2019,33846.0
2020,35196.0
2021,37962.0
2022,44135.0
2023,51058.0
2024,52062.0
2025,54357.0
