Agencies,ProjID,ProjName,PrimTech,Lat,Long
ARENA,2018/ARP130,Dynamic Limits DER Feasibility Study,DER Integration,-32.891803,151.708914
ARENA,2018/ARP130,Dynamic Limits DER Feasibility Study,DER Integration,-31.960608,152.096965
ARENA,2018/ARP160,Windlab LIDAR for Wind Forecast Projects,Market data and information,-20.766391,145.016585
ARENA,2018/ARP161,Skycam and Multi-Model Solar Forecasting Project,Market data and information,-18.860024,142.671841
ARENA,2018/ARP161,Skycam and Multi-Model Solar Forecasting Project,Market data and information,-35.843524,142.380095
ARENA,2018/ARP161,Skycam and Multi-Model Solar Forecasting Project,Market data and information,-25.806897,144.717486
ARENA,2018/ARP163,Wind Forecasting Demonstration Project,Market data and information,-33.625529,136.703706
ARENA,2018/ARP167,"Wind Forecasting for the NEM at Pacific Hydro's Clements Gap, Crowlands and Taralga Wind Farms",Market data and information,-37.125843,143.155768
ARENA,2018/ARP167,"Wind Forecasting for the NEM at Pacific Hydro's Clements Gap, Crowlands and Taralga Wind Farms",Market data and information,-34.423711,149.825828
ARENA,2018/ARP170,Proa Analytics Solar Forecasts Project,Market data and information,-27.404804,151.648333
ARENA,2018/ARP170,Proa Analytics Solar Forecasts Project,Market data and information,-34.688974,142.746093
ARENA,2019/ARP025,Advancing Renewables with PCM Thermal Energy Storage Project,Enabling,-34.577825,138.930588
ARENA,2019/ARP025,Advancing Renewables with PCM Thermal Energy Storage Project,Enabling,-19.257773,146.82357
ARENA,2009/ASI062,CSIRO Concentrating Solar Thermal Foundation Project,Solar Thermal,-32.884541,151.728686
ARENA,2009/BRD001,Sustainable Production Of High-Quality Second Generation Transport Fuels From Mallee Biomass By Pyrolysis And Biorefinery,Bioenergy,-31.949434,115.864609
ARENA,2009/BRD002,Production of Generation 2 ethanol from sugarcane waste,Bioenergy,-33.814556,151.169895
ARENA,2009/BRD003,Commerical demonstration of lignocellulosics to (unique) stable bio-crude oil,Bioenergy,-33.358219,151.2902
ARENA,2010/ASI001,"1-A007: BT Imaging, Inline Inspection Tools for Photovoltaic Manufacturing",Solar PV,-33.898315,151.208623
ARENA,2010/ASI002,"1-A039: ANU, Plasmonics for high efficiency solar cells",Solar PV,-35.276325,149.120265
ARENA,2010/ASI003,"1-A041:  ANU, Next generation SLIVER solar cells",Solar PV,-35.276325,149.120265
ARENA,2010/ASI004,1-A060:UNSW: Development and Commercialisation of High Efficiency Silicon Solar Cell Technology,Solar PV,-33.918005,151.233882
ARENA,2010/ASI008,"1-A082:  UNSW, Overcoming the Fundamental Performance Limitations of Commercial Solar Cells",Solar PV,-33.910275,151.22337
ARENA,2010/ASI009,"1-A086: Uni Queensland, New Materials and Architectures for Organic Solar Cells ?ö?ç?? Beyond the Shockley-Queisser Limit",Solar PV,-27.498305,153.013554
ARENA,2010/ASI044,"2-A021: CSIRO, Solar Powered Air Turbine Systems",Solar Thermal,-32.884541,151.728686
ARENA,2010/BRD001,Cane2Fuel: a biomass input system for producing second generation biofuels,Bioenergy,-27.497831,152.972554
ARENA,2010/BRD002,Production of biofuel from microalgae,Bioenergy,-37.794541,144.956701
ARENA,2010/BS0002,Geoscience Australia - Solar Research Data,Solar PV,-35.343257,149.158502
ARENA,2010/RED002,King Island Renewable Energy Integration Project (KIREIP),Hybrid,-39.941278,143.873958
ARENA,2011/ASI006,"1-A073A: CSIRO, Development of Advanced Solar Thermal Energy Storage Technologies for Integration with Energy-intensive Industrial Processes and Electricity Generation",Solar Thermal,-32.884541,151.728686
ARENA,2011/ASI007,"1-A077A: CSIRO, Advanced steam-generating receivers for high - concentration solar collectors",Solar Thermal,-32.884541,151.728686
ARENA,2011/ASI017,"1-UFA001:UNSW: Cost-effective GaAsP top solar cell grown on a high performance, low cost silicon solar cell",Solar PV,-33.910275,151.22337
ARENA,2011/ASI035,"2-A001: UNSW, Tandem Quantum Dot Solar Cells",Solar PV,-33.910275,151.22337
ARENA,2011/ASI037,"2-A004: UNSW, Forecasting and Characterising Grid Connected Solar Energy and Developing Synergies with Wind",Enabling,-33.910275,151.22337
ARENA,2011/ASI038,"2-A005: UNSW, The Hot Carrier Solar Cell",Solar PV,-33.910275,151.22337
ARENA,2011/ASI039,"2-A008: ANU, Industry Ready n-type Silicon Solar Cells",Solar PV,-35.276325,149.120265
ARENA,2011/ASI041,"2-A015: CSIRO, Development of a ThermoelectricGenerator for Application in a CST Topping Cycle",Solar Thermal,-32.884541,151.728686
ARENA,2011/ASI042,"2-A017: ANU, Roof-mounted hybrid CST system for distributed generation of heating, cooling and electricity",Solar Thermal,-35.276325,149.120265
ARENA,2011/ASI043,"2-A018: U. Melbourne, Printing solar cells ?ö?ç?? A manufacturing proposition for Australia",Solar PV,-37.797932,144.962307
ARENA,2011/ASI045,"2-A023: U. Sydney, Upconversion of the solar spectrum for improved PV energy conversion",Solar PV,-33.867487,151.20699
ARENA,2011/PFD001,"1-F002 Xiaojing Hao, Cu2ZnSnS4 (CZTS) Thin Film Solar Cell: A Novel Alternative for TW-level Thin Film PV",Solar PV,-33.910275,151.22337
ARENA,2011/PFD002,"1-F011 Ming Liu, High performance thermal energy storage systems with high temperature phase change material",Enabling,-34.810967,138.620623
ARENA,2011/PFD003,"1-F014 Wallace Wing Ho Wong, Synthesis of organic photovoltaic materials using continuous flow methods",Solar PV,-37.797932,144.962307
ARENA,2011/PFD004,"1-S004-Uni Newcastle Natalie Holmes, Development of novel water-based materials for commercial organic photovoltaics",Solar PV,-32.925689,151.77792
ARENA,2011/PFD005,"1-S005: UNSW Jonathan Dore, Intermediate layers for laser crystallised silicon thin film solar cells on glass",Solar PV,-33.910275,151.22337
ARENA,2011/PFD006,"1-S008-ANU Thomas Ratcliff, Development and characterisation of ion implantation for all back contact solar cells",Solar PV,-35.274441,149.120405
ARENA,2011/PFD007,"1-S007-UNSW Nicholas Boerema, Analysis of the potential for liquid metal heat transfer fluids to improve the commercial competitiveness and dispatchability of concentrating solar power",Enabling,-33.910275,151.22337
ARENA,2012/ASI005,"1-A065: Uni Newcastle,Fabrication of Thermionic Devices Using Directional Solidification/Sintering Processes for High Temperature CST Applications",Solar Thermal,-32.925689,151.77792
ARENA,2012/ASI010,"1-GER001: Uni Melbourne, Enhancing Efficiencies in Printed Solar Cells by Controlling Morphology Development",Solar PV,-37.797932,144.962307
