year,partner_iso,classification,hs_or_sitc_code,commodity,value_usd,net_weight_kg
1988,CHN,HS,2701,coal,1036126.0,22706000.0
1989,CHN,HS,2701,coal,18613487.0,386996000.0
1990,CHN,HS,2701,coal,25156805.0,508651000.0
1991,CHN,HS,2701,coal,16143306.0,320866000.0
1992,CHN,HS,2701,coal,19119962.0,386688000.0
1993,CHN,HS,2701,coal,34290251.0,772445000.0
1994,CHN,HS,2701,coal,27284728.0,784417000.0
1995,CHN,HS,2701,coal,38656481.0,1178459000.0
1996,CHN,HS,2701,coal,76490777.0,2141477000.0
1997,CHN,HS,2701,coal,65780525.0,1958255000.0
1998,CHN,HS,2701,coal,80005528.0,2257527040.0
1999,CHN,HS,2701,coal,80628529.0,2371228000.0
2000,CHN,HS,2701,coal,67594919.0,2197693000.0
2001,CHN,HS,2701,coal,35461542.0,1203163000.0
2002,CHN,HS,2701,coal,122072033.0,4765516000.0
2003,CHN,HS,2701,coal,158009164.0,5262055000.0
2004,CHN,HS,2701,coal,306879712.0,6466868000.0
2005,CHN,HS,2701,coal,404411083.0,5548851000.0
2006,CHN,HS,2701,coal,451404940.0,7761524000.0
2007,CHN,HS,2701,coal,320883093.0,4375765000.0
2008,CHN,HS,2701,coal,428103975.0,3536055400.0
2009,CHN,HS,2701,coal,4438747266.0,47542131873.0
2010,CHN,HS,2701,coal,4776526812.0,37251945124.0
2011,CHN,HS,2701,coal,4693333050.0,34051623125.0
2012,CHN,HS,2701,coal,7019925744.0,62886570000.0
2013,CHN,HS,2701,coal,8775627240.0,88117110000.0
2014,CHN,HS,2701,coal,7583468118.0,93400612100.0
2015,CHN,HS,2701,coal,4746646668.0,71228184000.0
2016,CHN,HS,2701,coal,5596236235.0,75173378306.0
2017,CHN,HS,2701,coal,9041860694.915,83406903070.0
2018,CHN,HS,2701,coal,10590813913.198,89177290000.0
2019,CHN,HS,2701,coal,9533227787.278,92424400000.0
2020,CHN,HS,2701,coal,6219036186.94,73688800000.0
2021,CHN,HS,2701,coal,18615456.941,182220000.0
2023,CHN,HS,2701,coal,6107136800.906,55631900000.0
2024,CHN,HS,2701,coal,8278433469.295,83987300000.0
1994,CHN,HS,2711,natural_gas_lng_gaseous,4071.0,
1996,CHN,HS,2711,natural_gas_lng_gaseous,66829712.0,
1997,CHN,HS,2711,natural_gas_lng_gaseous,93194181.0,
1998,CHN,HS,2711,natural_gas_lng_gaseous,69182712.0,
1999,CHN,HS,2711,natural_gas_lng_gaseous,59463720.0,
2000,CHN,HS,2711,natural_gas_lng_gaseous,71021629.0,257338816.0
2001,CHN,HS,2711,natural_gas_lng_gaseous,63692138.0,260273772.0
2002,CHN,HS,2711,natural_gas_lng_gaseous,29048327.0,136044570.0
2003,CHN,HS,2711,natural_gas_lng_gaseous,89736178.0,333820060.0
2004,CHN,HS,2711,natural_gas_lng_gaseous,84177224.0,236887510.0
2005,CHN,HS,2711,natural_gas_lng_gaseous,133791881.0,339659406.0
2006,CHN,HS,2711,natural_gas_lng_gaseous,108072126.0,214583559.0
2007,CHN,HS,2711,natural_gas_lng_gaseous,120087401.0,198678047.0
2008,CHN,HS,2711,natural_gas_lng_gaseous,131916361.0,168668025.0
2009,CHN,HS,2711,natural_gas_lng_gaseous,124414722.0,239699558.0
2010,CHN,HS,2711,natural_gas_lng_gaseous,149429443.0,217940809.0
2011,CHN,HS,2711,natural_gas_lng_gaseous,48912.0,30040.0
2012,CHN,HS,2711,natural_gas_lng_gaseous,1042151.0,1659760.0
2013,CHN,HS,2711,natural_gas_lng_gaseous,9352785.0,14911229.0
2014,CHN,HS,2711,natural_gas_lng_gaseous,13864689.0,21197831.0
2015,CHN,HS,2711,natural_gas_lng_gaseous,59131392.0,143763550.0
2016,CHN,HS,2711,natural_gas_lng_gaseous,89511192.0,253101038.0
2017,CHN,HS,2711,natural_gas_lng_gaseous,64258436.588,126774280.0
2018,CHN,HS,2711,natural_gas_lng_gaseous,86501417.384,152886340.0
2019,CHN,HS,2711,natural_gas_lng_gaseous,80090671.702,156435400.0
2020,CHN,HS,2711,natural_gas_lng_gaseous,7351044.607,18300000.0
2021,CHN,HS,2711,natural_gas_lng_gaseous,3530584.681,9400000.0
2023,CHN,HS,2711,natural_gas_lng_gaseous,301938880.88,558644000.0
2024,CHN,HS,2711,natural_gas_lng_gaseous,458085551.822,784391400.0
1988,KOR,HS,2701,coal,286730918.0,7960343000.0
1989,KOR,HS,2701,coal,341597248.0,8237683000.0
1990,KOR,HS,2701,coal,398633315.0,9130664000.0
1991,KOR,HS,2701,coal,507274029.0,11711076000.0
1992,KOR,HS,2701,coal,600645479.0,14189330000.0
1993,KOR,HS,2701,coal,653769751.0,16191662000.0
1994,KOR,HS,2701,coal,614245806.0,16171238000.0
1995,KOR,HS,2701,coal,680726933.0,17207410000.0
1996,KOR,HS,2701,coal,828460737.0,19202361000.0
1997,KOR,HS,2701,coal,725097433.0,17794340000.0
1998,KOR,HS,2701,coal,737738688.0,20495613952.0
1999,KOR,HS,2701,coal,581073463.0,18059568000.0
2000,KOR,HS,2701,coal,508665270.0,17201127600.0
2001,KOR,HS,2701,coal,620905532.0,19846716000.0
2002,KOR,HS,2701,coal,697293546.0,21409557000.0
2003,KOR,HS,2701,coal,698609891.0,22536231000.0
2004,KOR,HS,2701,coal,1300279411.0,29945114000.0
2005,KOR,HS,2701,coal,1931995526.0,30619887000.0
2006,KOR,HS,2701,coal,1458158931.0,23501751000.0
2007,KOR,HS,2701,coal,1383089954.0,22091568000.0
2008,KOR,HS,2701,coal,4732656331.0,37406038000.0
2009,KOR,HS,2701,coal,3859237415.0,41795945000.0
2010,KOR,HS,2701,coal,4942735151.0,43731839000.0
2011,KOR,HS,2701,coal,6870771282.0,45942368000.0
2012,KOR,HS,2701,coal,5611302475.0,45905881000.0
2013,KOR,HS,2701,coal,4849796613.0,49917346485.0
2014,KOR,HS,2701,coal,4639726565.0,54922765106.0
2015,KOR,HS,2701,coal,3906453820.0,59655051665.0
2016,KOR,HS,2701,coal,3490130784.0,51137312022.0
2017,KOR,HS,2701,coal,5277368367.533,48831121000.0
2018,KOR,HS,2701,coal,5486000086.553,47905100000.0
2019,KOR,HS,2701,coal,4946764078.66,50846800000.0
2020,KOR,HS,2701,coal,3258789285.558,46073500000.0
2021,KOR,HS,2701,coal,6962922116.698,61330733000.0
2022,KOR,HS,2701,coal,11917232501.356,46151500000.0
2023,KOR,HS,2701,coal,6901216517.39,35715350000.0
2024,KOR,HS,2701,coal,5358888763.046,32124070000.0
1990,KOR,HS,2711,natural_gas_lng_gaseous,9616.0,
1991,KOR,HS,2711,natural_gas_lng_gaseous,2678.0,
1992,KOR,HS,2711,natural_gas_lng_gaseous,1833.0,
1993,KOR,HS,2711,natural_gas_lng_gaseous,9366221.0,
1995,KOR,HS,2711,natural_gas_lng_gaseous,8277822.0,
1999,KOR,HS,2711,natural_gas_lng_gaseous,31543342.0,
2000,KOR,HS,2711,natural_gas_lng_gaseous,11257641.0,46544710.0
2001,KOR,HS,2711,natural_gas_lng_gaseous,25515016.0,105425910.0
2002,KOR,HS,2711,natural_gas_lng_gaseous,32015639.0,127362169.0
2003,KOR,HS,2711,natural_gas_lng_gaseous,3578.0,70.0
2004,KOR,HS,2711,natural_gas_lng_gaseous,13513708.0,45134435.0
2005,KOR,HS,2711,natural_gas_lng_gaseous,81949.0,90225.0
2006,KOR,HS,2711,natural_gas_lng_gaseous,73048311.0,137606416.0
2007,KOR,HS,2711,natural_gas_lng_gaseous,83742710.0,135491986.0
2008,KOR,HS,2711,natural_gas_lng_gaseous,152739625.0,186022170.0
2009,KOR,HS,2711,natural_gas_lng_gaseous,12140544.0,22409730.0
2010,KOR,HS,2711,natural_gas_lng_gaseous,67502351.0,94603069.0
2011,KOR,HS,2711,natural_gas_lng_gaseous,84081602.0,105033164.0
2012,KOR,HS,2711,natural_gas_lng_gaseous,205171137.0,225343171.0
2013,KOR,HS,2711,natural_gas_lng_gaseous,239800607.0,275266995.0
2014,KOR,HS,2711,natural_gas_lng_gaseous,256745047.0,314183350.0
2015,KOR,HS,2711,natural_gas_lng_gaseous,15796977.0,43121160.0
2016,KOR,HS,2711,natural_gas_lng_gaseous,39575716.0,127367640.0
2017,KOR,HS,2711,natural_gas_lng_gaseous,56201512.748,137874300.0
2018,KOR,HS,2711,natural_gas_lng_gaseous,21510580.097,34087000.0
2020,KOR,HS,2711,natural_gas_lng_gaseous,43940.989,154.0
2021,KOR,HS,2711,natural_gas_lng_gaseous,39526.022,178.0
2022,KOR,HS,2711,natural_gas_lng_gaseous,27737.383,124.0
2023,KOR,HS,2711,natural_gas_lng_gaseous,88189895.617,155292020.0
2024,KOR,HS,2711,natural_gas_lng_gaseous,77558498.316,135465898.0
1988,MYS,HS,2701,coal,14732961.0,503050000.0
1989,MYS,HS,2701,coal,25896421.0,696126000.0
1990,MYS,HS,2701,coal,28996723.0,697128000.0
1991,MYS,HS,2701,coal,25112796.0,613231000.0
1992,MYS,HS,2701,coal,15288342.0,440612000.0
1993,MYS,HS,2701,coal,22515668.0,894194000.0
1994,MYS,HS,2701,coal,10009120.0,388093000.0
1995,MYS,HS,2701,coal,19501480.0,759789000.0
1996,MYS,HS,2701,coal,36715602.0,1019570000.0
1997,MYS,HS,2701,coal,23949656.0,641832000.0
1998,MYS,HS,2701,coal,24825856.0,710788992.0
1999,MYS,HS,2701,coal,37745269.0,1307743000.0
2000,MYS,HS,2701,coal,25727986.0,1108507000.0
2001,MYS,HS,2701,coal,31670397.0,1106386000.0
2002,MYS,HS,2701,coal,55467307.0,1837692070.0
2003,MYS,HS,2701,coal,63920475.0,2482550900.0
2004,MYS,HS,2701,coal,123629607.0,3499269906.0
2005,MYS,HS,2701,coal,136105470.0,2934280288.0
2006,MYS,HS,2701,coal,148792048.0,3187225918.0
2007,MYS,HS,2701,coal,117245542.0,2678122000.0
2008,MYS,HS,2701,coal,366496661.0,2992350590.0
2009,MYS,HS,2701,coal,110766825.0,1397609876.0
2010,MYS,HS,2701,coal,239060594.0,2678522072.0
