year,classification,hs_or_sitc_code,commodity,reporter,flow,qty,qty_unit_code,net_weight_kg,value_usd
1988,HS,TOTAL,all_commodities,AUS,X,,-1,,8174204709.0
1988,HS,TOTAL,all_commodities,JPN,M,,-1,,10284713254.0
1989,HS,TOTAL,all_commodities,AUS,X,,-1,,9043910419.0
1989,HS,TOTAL,all_commodities,JPN,M,,-1,,11610319488.0
1990,HS,TOTAL,all_commodities,AUS,X,,-1,,9814552469.0
1990,HS,TOTAL,all_commodities,JPN,M,,-1,,12391026133.0
1991,HS,TOTAL,all_commodities,AUS,X,,-1,,10929548486.0
1991,HS,TOTAL,all_commodities,JPN,M,,-1,,13016152760.0
1992,HS,TOTAL,all_commodities,AUS,X,,-1,,10125281736.0
1992,HS,TOTAL,all_commodities,JPN,M,,-1,,12445488333.0
1993,HS,TOTAL,all_commodities,AUS,X,,-1,,9846658481.0
1993,HS,TOTAL,all_commodities,JPN,M,,-1,,12216769517.0
1994,HS,TOTAL,all_commodities,AUS,X,,-1,,10921610398.0
1994,HS,TOTAL,all_commodities,JPN,M,,-1,,13641648390.0
1995,HS,TOTAL,all_commodities,AUS,X,,-1,,10731914788.0
1995,HS,TOTAL,all_commodities,JPN,M,,-1,,14558427019.0
1996,HS,TOTAL,all_commodities,AUS,X,,-1,,10097623801.0
1996,HS,TOTAL,all_commodities,JPN,M,,-1,,14229449081.0
1997,HS,TOTAL,all_commodities,AUS,X,,-1,,10281915620.0
1997,HS,TOTAL,all_commodities,JPN,M,,-1,,14588200775.0
1998,HS,TOTAL,all_commodities,AUS,X,0.0,-1,,10924461334.0
1998,HS,TOTAL,all_commodities,JPN,M,,-1,,13014272663.0
1999,HS,TOTAL,all_commodities,AUS,X,,-1,,9069322835.0
1999,HS,TOTAL,all_commodities,JPN,M,,-1,,12806522174.0
2000,HS,TOTAL,all_commodities,AUS,X,,-1,,12600200044.0
2000,HS,TOTAL,all_commodities,JPN,M,,-1,,14802219263.0
2001,HS,TOTAL,all_commodities,AUS,X,,-1,,12255376776.0
2001,HS,TOTAL,all_commodities,JPN,M,,-1,,14459593823.0
2002,HS,TOTAL,all_commodities,AUS,X,,-1,,12064745591.0
2002,HS,TOTAL,all_commodities,JPN,M,,-1,,14018216836.0
2003,HS,TOTAL,all_commodities,AUS,X,,-1,,12820286554.0
2003,HS,TOTAL,all_commodities,JPN,M,,-1,,15079352612.0
2004,HS,TOTAL,all_commodities,AUS,X,,-1,,16314188927.0
2004,HS,TOTAL,all_commodities,JPN,M,,-1,,19454411134.0
2005,HS,TOTAL,all_commodities,AUS,X,,-1,,21703963590.0
2005,HS,TOTAL,all_commodities,JPN,M,,-1,,24513204866.0
2006,HS,TOTAL,all_commodities,AUS,X,,-1,,24446819837.0
2006,HS,TOTAL,all_commodities,JPN,M,,-1,,27927415055.0
2007,HS,TOTAL,all_commodities,AUS,X,,-1,,26801195515.0
2007,HS,TOTAL,all_commodities,JPN,M,,-1,,31252148401.0
2008,HS,TOTAL,all_commodities,AUS,X,,-1,,42731584689.0
2008,HS,TOTAL,all_commodities,JPN,M,,-1,,47531823339.0
2009,HS,TOTAL,all_commodities,AUS,X,,-1,,30014166312.0
2009,HS,TOTAL,all_commodities,JPN,M,,-1,,34751479227.0
2010,HS,TOTAL,all_commodities,AUS,X,,-1,,40088026972.0
2010,HS,TOTAL,all_commodities,JPN,M,,-1,,45096684248.0
2011,HS,TOTAL,all_commodities,AUS,X,,-1,,52088075596.0
2011,HS,TOTAL,all_commodities,JPN,M,,-1,,56688392609.0
2012,HS,TOTAL,all_commodities,AUS,X,,-1,,49680326911.0
2012,HS,TOTAL,all_commodities,JPN,M,,-1,,56449991809.0
2013,HS,TOTAL,all_commodities,AUS,X,,-1,,31251833517.0
2013,HS,TOTAL,all_commodities,JPN,M,,-1,,51026036092.0
2014,HS,TOTAL,all_commodities,AUS,X,,-1,,43135786659.0
2014,HS,TOTAL,all_commodities,JPN,M,,-1,,48117721953.0
2015,HS,TOTAL,all_commodities,AUS,X,,-1,,29826962032.0
2015,HS,TOTAL,all_commodities,JPN,M,,-1,,34791622271.0
2016,HS,TOTAL,all_commodities,AUS,X,,-1,,26344514675.0
2016,HS,TOTAL,all_commodities,JPN,M,,-1,,30432596105.0
2017,HS,TOTAL,all_commodities,AUS,X,0.0,-1,0.0,24179668817.757
2017,HS,TOTAL,all_commodities,JPN,M,0.0,-1,0.0,38908730109.943
2018,HS,TOTAL,all_commodities,AUS,X,0.0,-1,0.0,26582378937.113
2018,HS,TOTAL,all_commodities,JPN,M,0.0,-1,0.0,45731434968.503
2019,HS,TOTAL,all_commodities,AUS,X,0.0,-1,0.0,24446793853.692
2019,HS,TOTAL,all_commodities,JPN,M,0.0,-1,0.0,45481319121.4
2020,HS,TOTAL,all_commodities,AUS,X,0.0,-1,0.0,22654468097.739
2020,HS,TOTAL,all_commodities,JPN,M,0.0,-1,0.0,35790723788.284
2021,HS,TOTAL,all_commodities,AUS,X,0.0,-1,0.0,30319468420.375
2021,HS,TOTAL,all_commodities,JPN,M,0.0,-1,0.0,52241209731.765
2022,HS,TOTAL,all_commodities,AUS,X,0.0,-1,0.0,52518468579.657
2022,HS,TOTAL,all_commodities,JPN,M,0.0,-1,0.0,88400517153.076
2023,HS,TOTAL,all_commodities,AUS,X,0.0,-1,0.0,36190353028.187
2023,HS,TOTAL,all_commodities,JPN,M,0.0,-1,0.0,64535237942.036
2024,HS,TOTAL,all_commodities,AUS,X,0.0,-1,0.0,30623985628.119
2024,HS,TOTAL,all_commodities,JPN,M,0.0,-1,0.0,52854044085.632
1988,HS,2701,coal,AUS,X,49776488421.0,8,49776488421.0,1845109808.0
1988,HS,2701,coal,JPN,M,49587821000.0,8,49587821000.0,2301461172.0
1989,HS,2701,coal,AUS,X,54197994249.0,8,54197994249.0,2233857706.0
1989,HS,2701,coal,JPN,M,53193746000.0,8,53193746000.0,2762095379.0
1990,HS,2701,coal,AUS,X,57180113687.0,8,57180113687.0,2436932749.0
1990,HS,2701,coal,JPN,M,55736019000.0,8,55736019000.0,3018768125.0
1991,HS,2701,coal,AUS,X,61117229312.0,8,61117229312.0,2677850963.0
1991,HS,2701,coal,JPN,M,59636444000.0,8,59636444000.0,3216948916.0
1992,HS,2701,coal,AUS,X,61272498812.0,8,61272498812.0,2600363591.0
1992,HS,2701,coal,JPN,M,,-1,60432312000.0,3126932261.0
1993,HS,2701,coal,AUS,X,64084167312.0,8,64084167312.0,2535946892.0
1993,HS,2701,coal,JPN,M,63401719000.0,8,63401719000.0,3125422052.0
1994,HS,2701,coal,AUS,X,63459356000.0,8,63459356000.0,2329360846.0
1994,HS,2701,coal,JPN,M,63395472000.0,8,63395472000.0,2948158715.0
1995,HS,2701,coal,AUS,X,59249345375.0,8,59249345375.0,2345892608.0
1995,HS,2701,coal,JPN,M,64995609000.0,8,64995609000.0,3271757830.0
1996,HS,2701,coal,AUS,X,65534801250.0,8,65534801250.0,2775852961.0
1996,HS,2701,coal,JPN,M,65350904000.0,8,65350904000.0,3414635429.0
1997,HS,2701,coal,AUS,X,73122000437.0,8,73122000437.0,2936782591.0
1997,HS,2701,coal,JPN,M,71517993000.0,8,71517993000.0,3524980622.0
1998,HS,2701,coal,AUS,X,71507034112.0,8,71507034112.0,2605647616.0
1998,HS,2701,coal,JPN,M,71462351000.0,8,71462351000.0,3223761260.0
1999,HS,2701,coal,AUS,X,79719335812.0,8,79719335812.0,2441659441.0
1999,HS,2701,coal,JPN,M,79953959000.0,8,79953959000.0,3113886092.0
2000,HS,2701,coal,AUS,X,87770420067.0,8,87770420067.0,2457077213.0
2000,HS,2701,coal,JPN,M,86541129000.0,8,86541129000.0,3189893392.0
2001,HS,2701,coal,AUS,X,92332022121.0,8,92332022121.0,2944659581.0
2001,HS,2701,coal,JPN,M,91354403000.0,8,91354403000.0,3646874312.0
2002,HS,2701,coal,AUS,X,91844219000.0,8,91844219000.0,2988775737.0
2002,HS,2701,coal,JPN,M,90573700000.0,8,90573700000.0,3660593648.0
2003,HS,2701,coal,AUS,X,95681270430.0,8,95681270430.0,2911888591.0
2003,HS,2701,coal,JPN,M,94883309000.0,8,94883309000.0,3697291222.0
2004,HS,2701,coal,AUS,X,102217622259.0,8,102217622259.0,4233001222.0
2004,HS,2701,coal,JPN,M,102546657000.0,8,102546657000.0,5436362233.0
2005,HS,2701,coal,AUS,X,105160016599.0,8,105160016599.0,6875805731.0
2005,HS,2701,coal,JPN,M,103728275744.0,8,103728275744.0,7966117775.0
2006,HS,2701,coal,AUS,X,103588297000.0,8,103588297000.0,7232019439.0
2006,HS,2701,coal,JPN,M,103223234276.0,8,103223234276.0,8485789309.0
2007,HS,2701,coal,AUS,X,114994728650.0,8,114994728650.0,7556444797.0
2007,HS,2701,coal,JPN,M,113355016680.0,8,113355016680.0,9249240723.0
2008,HS,2701,coal,AUS,X,118155001360.0,8,118155001360.0,17232657966.0
2008,HS,2701,coal,JPN,M,,-1,117736976512.0,18644605266.0
2009,HS,2701,coal,AUS,X,101532580855.0,8,101532580855.0,12449673278.0
