year,classification,hs_or_sitc_code,commodity,qty,qty_unit_code,net_weight_kg,value_usd
1988,HS,TOTAL,all_commodities,,-1,,32205394052.0
1989,HS,TOTAL,all_commodities,,-1,,35761442364.0
1990,HS,TOTAL,all_commodities,,-1,,38781276003.0
1991,HS,TOTAL,all_commodities,,-1,,40782719646.0
1992,HS,TOTAL,all_commodities,,-1,,42078850998.0
1993,HS,TOTAL,all_commodities,,-1,,41879201003.0
1994,HS,TOTAL,all_commodities,,-1,,47253810043.0
1995,HS,TOTAL,all_commodities,,-1,,53000545492.0
1996,HS,TOTAL,all_commodities,,-1,,60206784511.0
1997,HS,TOTAL,all_commodities,,-1,,62816517159.0
1998,HS,TOTAL,all_commodities,0.0,-1,,55808521696.0
1999,HS,TOTAL,all_commodities,,-1,,54534196028.0
2000,HS,TOTAL,all_commodities,,-1,,63766334251.0
2001,HS,TOTAL,all_commodities,,-1,,63288188610.0
2002,HS,TOTAL,all_commodities,,-1,,64984167265.0
2003,HS,TOTAL,all_commodities,,-1,,70288235404.0
2004,HS,TOTAL,all_commodities,,-1,,86484037752.0
2005,HS,TOTAL,all_commodities,,-1,,106011050685.0
2006,HS,TOTAL,all_commodities,,-1,,123324472734.0
2007,HS,TOTAL,all_commodities,,-1,,141181512401.0
2008,HS,TOTAL,all_commodities,,-1,,186853013588.0
2009,HS,TOTAL,all_commodities,,-1,,153899575950.0
2010,HS,TOTAL,all_commodities,,-1,,212108726296.0
2011,HS,TOTAL,all_commodities,,-1,,269423385464.0
2012,HS,TOTAL,all_commodities,,-1,,256242912988.0
2013,HS,TOTAL,all_commodities,,-1,,252155105281.0
2014,HS,TOTAL,all_commodities,,-1,,240444683866.0
2015,HS,TOTAL,all_commodities,,-1,,187792151470.0
2016,HS,TOTAL,all_commodities,,-1,,189629974559.0
2017,HS,TOTAL,all_commodities,0.0,-1,0.0,230536736593.854
2018,HS,TOTAL,all_commodities,0.0,-1,,256565262375.592
2019,HS,TOTAL,all_commodities,0.0,-1,0.0,270260835869.77
2020,HS,TOTAL,all_commodities,0.0,-1,,247159345941.573
2021,HS,TOTAL,all_commodities,0.0,-1,0.0,342036103269.844
2022,HS,TOTAL,all_commodities,0.0,-1,0.0,410252834479.043
2023,HS,TOTAL,all_commodities,0.0,-1,,369235124159.052
2024,HS,TOTAL,all_commodities,0.0,-1,,340854851740.669
1988,HS,2701,coal,97887942544.0,8,97887942544.0,3550353960.0
1989,HS,2701,coal,100039269249.0,8,100039269249.0,4081498744.0
1990,HS,2701,coal,107760386687.0,8,107760386687.0,4625822484.0
1991,HS,2701,coal,120943121312.0,8,120943121312.0,5234749573.0
1992,HS,2701,coal,127048472912.0,8,127048472912.0,5316735820.0
1993,HS,2701,coal,133096824193.0,8,133096824193.0,5240561641.0
1994,HS,2701,coal,131159779441.0,8,131159779441.0,4902971063.0
1995,HS,2701,coal,136411094511.0,8,136411094511.0,5468670467.0
1996,HS,2701,coal,140789009250.0,8,140789009250.0,6077671809.0
1997,HS,2701,coal,157774469530.0,8,157774469530.0,6517575938.0
1998,HS,2701,coal,167042072576.0,8,167042072576.0,6172320768.0
1999,HS,2701,coal,171406552981.0,8,171406552981.0,5417207256.0
2000,HS,2701,coal,186754572178.0,8,186754572178.0,5397081306.0
2001,HS,2701,coal,194159476491.0,8,194159476491.0,6454899087.0
2002,HS,2701,coal,204659311917.0,8,204659311917.0,6994805027.0
2003,HS,2701,coal,216270030811.0,8,216270030811.0,7067919036.0
2004,HS,2701,coal,225315431150.0,8,225315431150.0,9833919622.0
2005,HS,2701,coal,234319559157.0,8,234319559157.0,16649556642.0
2006,HS,2701,coal,237600877937.0,8,237600877937.0,17545294612.0
2007,HS,2701,coal,251437926400.0,8,251437926400.0,17427904563.0
2008,HS,2701,coal,261909166150.0,8,261909166150.0,39252883864.0
2009,HS,2701,coal,275088188259.0,8,275088188259.0,30968398113.0
2010,HS,2701,coal,301911013929.0,8,301911013929.0,39527282439.0
2011,HS,2701,coal,281474394427.0,8,281474394427.0,48235174208.0
2012,HS,2701,coal,316447451815.0,8,316447451815.0,42699283609.0
2013,HS,2701,coal,359284448882.0,8,359284448882.0,38423486105.0
2014,HS,2701,coal,387466505453.0,8,387466505453.0,34430767847.0
2015,HS,2701,coal,387849252912.0,8,387849252912.0,28418514200.0
2016,HS,2701,coal,390898505683.0,8,390898505683.0,29579757173.0
2017,HS,2701,coal,373016588950.0,8,373016588950.0,43807013886.029
2018,HS,2701,coal,386146113431.744,8,386146113431.744,49730886253.267
2019,HS,2701,coal,0.0,-1,,44371660291.117
2020,HS,2701,coal,370779595949.104,8,370779595949.104,30162925249.581
2021,HS,2701,coal,366512020740.0,8,366512020740.0,46598545039.441
2022,HS,2701,coal,338831958760.0,8,338831958760.0,98238239264.652
2023,HS,2701,coal,353029781910.0,8,353029781910.0,67642290602.836
2024,HS,2701,coal,361958367290.0,8,361958367290.0,56507578209.854
1988,HS,2704,coke_semi_coke,1077748212.0,8,1077748212.0,72405860.0
1989,HS,2704,coke_semi_coke,831557372.0,8,831557372.0,69486210.0
1990,HS,2704,coke_semi_coke,708442673.0,8,708442673.0,63564761.0
1991,HS,2704,coke_semi_coke,979302574.0,8,979302574.0,82417937.0
1992,HS,2704,coke_semi_coke,759457499.0,8,759457499.0,67863420.0
1993,HS,2704,coke_semi_coke,666120159.0,8,666120159.0,55181927.0
1994,HS,2704,coke_semi_coke,396893041.0,8,396893041.0,36370627.0
1995,HS,2704,coke_semi_coke,396904197.0,8,396904197.0,36437485.0
1996,HS,2704,coke_semi_coke,430717170.0,8,430717170.0,38827234.0
1997,HS,2704,coke_semi_coke,336809039.0,8,336809039.0,25383315.0
1998,HS,2704,coke_semi_coke,0.0,-1,,15202306.0
1999,HS,2704,coke_semi_coke,0.0,-1,,8830099.0
2000,HS,2704,coke_semi_coke,68977923.0,8,68977923.0,6018394.0
2001,HS,2704,coke_semi_coke,153278701.0,8,153278701.0,10591167.0
2002,HS,2704,coke_semi_coke,169538067.0,8,169538067.0,12434567.0
2003,HS,2704,coke_semi_coke,307809711.0,8,307809711.0,32615565.0
2004,HS,2704,coke_semi_coke,301764861.0,8,301764861.0,68621884.0
2005,HS,2704,coke_semi_coke,224809474.0,8,224809474.0,51122087.0
2006,HS,2704,coke_semi_coke,263095331.0,8,263095331.0,59828362.0
2007,HS,2704,coke_semi_coke,611469421.0,8,611469421.0,95694964.0
2008,HS,2704,coke_semi_coke,1157392780.0,8,1157392780.0,207276351.0
2009,HS,2704,coke_semi_coke,346609395.0,8,346609395.0,126432845.0
2010,HS,2704,coke_semi_coke,554644907.0,8,554644907.0,142799780.0
2011,HS,2704,coke_semi_coke,792953610.0,8,792953610.0,263879685.0
2012,HS,2704,coke_semi_coke,,-1,,302010718.0
2013,HS,2704,coke_semi_coke,588643766.0,8,588643766.0,194487176.0
2014,HS,2704,coke_semi_coke,674070959.0,8,674070959.0,178477232.0
2015,HS,2704,coke_semi_coke,224881690.0,8,224881690.0,57178184.0
2019,HS,2704,coke_semi_coke,100.0,8,100.0,792.489
2020,HS,2704,coke_semi_coke,100.0,8,100.0,801.742
2023,HS,2704,coke_semi_coke,209047040.0,8,209047040.0,95198354.701
2024,HS,2704,coke_semi_coke,537069160.0,8,537069160.0,232179795.595
1988,HS,2601,iron_ore,98474683657.0,8,98474683657.0,1385767269.0
1989,HS,2601,iron_ore,107003536112.0,8,107003536112.0,1634289369.0
1990,HS,2601,iron_ore,100482906236.0,8,100482906236.0,1761413957.0
1991,HS,2601,iron_ore,115426040427.0,8,115426040427.0,2245757363.0
1992,HS,2601,iron_ore,108411774712.0,8,108411774712.0,2064873493.0
1993,HS,2601,iron_ore,116902715061.0,8,116902715061.0,1966338802.0
1994,HS,2601,iron_ore,125017600529.0,8,125017600529.0,1898327252.0
1995,HS,2601,iron_ore,137074648333.0,8,137074648333.0,2173458994.0
1996,HS,2601,iron_ore,135502204877.0,8,135502204877.0,2278565464.0
1997,HS,2601,iron_ore,155486073408.0,8,155486073408.0,2644960175.0
1998,HS,2601,iron_ore,144732160000.0,8,144732160000.0,2504636416.0
1999,HS,2601,iron_ore,146200021092.0,8,146200021092.0,2303456466.0
2000,HS,2601,iron_ore,165203074616.0,8,165203074616.0,2560403675.0
2001,HS,2601,iron_ore,166980070995.0,8,166980070995.0,2703482564.0
2002,HS,2601,iron_ore,176753438455.0,8,176753438455.0,2828234657.0
2003,HS,2601,iron_ore,200133156960.0,8,200133156960.0,3320370204.0
2004,HS,2601,iron_ore,223891985000.0,8,223891985000.0,4534494266.0
2005,HS,2601,iron_ore,255333003309.0,8,255333003309.0,8445766327.0
2006,HS,2601,iron_ore,264813208001.0,8,264813208001.0,10828903183.0
2007,HS,2601,iron_ore,285237544805.0,8,285237544805.0,13648180700.0
2008,HS,2601,iron_ore,331172871330.0,8,331172871330.0,25379001342.0
2009,HS,2601,iron_ore,389763946707.0,8,389763946707.0,23593714203.0
2010,HS,2601,iron_ore,427691062239.0,8,427691062239.0,45425717647.0
2011,HS,2601,iron_ore,465221825725.0,8,465221825725.0,66216909106.0
2012,HS,2601,iron_ore,523365490050.0,8,523365490050.0,56726866426.0
2013,HS,2601,iron_ore,611186256179.0,8,611186256179.0,67208985892.0
2014,HS,2601,iron_ore,755065242141.0,8,755065242141.0,60174381205.0
2015,HS,2601,iron_ore,809676434221.0,8,809676434221.0,36735457673.0
2016,HS,2601,iron_ore,853425015671.0,8,853425015671.0,39691522829.0
2017,HS,2601,iron_ore,0.0,-1,,48386546386.99
2018,HS,2601,iron_ore,835527260020.0,8,835527260020.0,47196203106.349
2019,HS,2601,iron_ore,837345752120.0,8,837345752120.0,66787092351.454
2020,HS,2601,iron_ore,870210570400.0,8,870210570400.0,79880253860.094
2021,HS,2601,iron_ore,872165430990.0,8,872165430990.0,115827453821.292
2022,HS,2601,iron_ore,884188467680.0,8,884188467680.0,85978839232.961
2023,HS,2601,iron_ore,0.0,-1,,90296062549.54
2024,HS,2601,iron_ore,902604766700.0,8,902604766700.0,82217105525.807
1988,HS,271111,lng_liquefied,7500.0,8,7500.0,447.0
1989,HS,271111,lng_liquefied,415301078.0,8,415301078.0,87673710.0
1990,HS,271111,lng_liquefied,0.0,-1,,392195500.0
1991,HS,271111,lng_liquefied,0.0,-1,,734296208.0
1992,HS,271111,lng_liquefied,0.0,-1,,711884996.0
1993,HS,271111,lng_liquefied,0.0,-1,,714570527.0
1994,HS,271111,lng_liquefied,0.0,-1,,791551037.0
1995,HS,271111,lng_liquefied,0.0,-1,,1008485945.0
1996,HS,271111,lng_liquefied,0.0,-1,,1088637045.0
1997,HS,271111,lng_liquefied,0.0,-1,,1202081818.0
1998,HS,271111,lng_liquefied,0.0,-1,,974438208.0
1999,HS,271111,lng_liquefied,0.0,-1,,941030337.0
2000,HS,271111,lng_liquefied,7273062919.0,8,7273062919.0,1414776760.0
2001,HS,271111,lng_liquefied,7251019867.0,8,7251019867.0,1504705440.0
2002,HS,271111,lng_liquefied,6783206813.0,8,6783206813.0,1321570635.0
2003,HS,271111,lng_liquefied,7622489255.0,8,7622489255.0,1572875101.0
2004,HS,271111,lng_liquefied,7414967741.0,8,7414967741.0,1897664191.0
2005,HS,271111,lng_liquefied,11010407636.0,8,11010407636.0,2817821605.0
2006,HS,271111,lng_liquefied,15048106622.0,8,15048106622.0,3851163495.0
2007,HS,271111,lng_liquefied,12324867896.0,8,12324867896.0,4263741851.0
2008,HS,271111,lng_liquefied,17660854289.0,8,17660854289.0,7782492425.0
2009,HS,271111,lng_liquefied,11133958583.0,8,11133958583.0,5988785099.0
2010,HS,271111,lng_liquefied,23071115235.0,8,23071115235.0,8670404317.0
2011,HS,271111,lng_liquefied,28651381207.0,8,28651381207.0,11449999699.0
2012,HS,271111,lng_liquefied,,-1,,14050368950.0
2013,HS,271111,lng_liquefied,23152225393.0,8,23152225393.0,14187676317.0
2014,HS,271111,lng_liquefied,24905481640.0,8,24905481640.0,16095569272.0
2015,HS,271111,lng_liquefied,32419705327.0,8,32419705327.0,12428599293.0
2016,HS,271111,lng_liquefied,44952505521.0,8,44952505521.0,13368660709.0
2017,HS,271111,lng_liquefied,56904900000.0,8,56904900000.0,19643398591.603
2018,HS,271111,lng_liquefied,69539500000.0,8,69539500000.0,32376707825.449
2019,HS,271111,lng_liquefied,77157700000.0,8,77157700000.0,33892669170.006
2020,HS,271111,lng_liquefied,44962600000.0,8,44962600000.0,17384240405.265
2021,HS,271111,lng_liquefied,81416000000.0,8,81416000000.0,37195047748.195
2022,HS,271111,lng_liquefied,81563900000.0,8,81563900000.0,62985760393.454
2023,HS,271111,lng_liquefied,80973600000.0,8,80973600000.0,49515175704.916
2024,HS,271111,lng_liquefied,81275600000.0,8,81275600000.0,44521041774.551
1988,HS,2711,natural_gas_lng_gaseous,1307251248.0,8,1307251248.0,163851442.0
1989,HS,2711,natural_gas_lng_gaseous,1527444543.0,8,1527444543.0,202906517.0
1990,HS,2711,natural_gas_lng_gaseous,0.0,-1,,537317263.0
1991,HS,2711,natural_gas_lng_gaseous,0.0,-1,,858367510.0
1992,HS,2711,natural_gas_lng_gaseous,0.0,-1,,839222180.0
1993,HS,2711,natural_gas_lng_gaseous,0.0,-1,,827929922.0
1994,HS,2711,natural_gas_lng_gaseous,0.0,-1,,890987618.0
1995,HS,2711,natural_gas_lng_gaseous,0.0,-1,,1123780914.0
1996,HS,2711,natural_gas_lng_gaseous,0.0,-1,,1312994741.0
1997,HS,2711,natural_gas_lng_gaseous,0.0,-1,,1514666302.0
1998,HS,2711,natural_gas_lng_gaseous,0.0,-1,,1165153664.0
1999,HS,2711,natural_gas_lng_gaseous,0.0,-1,,1211879598.0
2000,HS,2711,natural_gas_lng_gaseous,8853469075.0,8,8853469075.0,1865117183.0
2001,HS,2711,natural_gas_lng_gaseous,8871172393.0,8,8871172393.0,1912888813.0
2002,HS,2711,natural_gas_lng_gaseous,8536832105.0,8,8536832105.0,1741451253.0
2003,HS,2711,natural_gas_lng_gaseous,9368596716.0,8,9368596716.0,2085544977.0
2004,HS,2711,natural_gas_lng_gaseous,8896003177.0,8,8896003177.0,2405730207.0
2005,HS,2711,natural_gas_lng_gaseous,12675086784.0,8,12675086784.0,3524485254.0
2006,HS,2711,natural_gas_lng_gaseous,16573991588.0,8,16573991588.0,4647461058.0
2007,HS,2711,natural_gas_lng_gaseous,13825504374.0,8,13825504374.0,5187159445.0
2008,HS,2711,natural_gas_lng_gaseous,18950657230.0,8,18950657230.0,8783284481.0
2009,HS,2711,natural_gas_lng_gaseous,12676401375.0,8,12676401375.0,6776973528.0
2010,HS,2711,natural_gas_lng_gaseous,24463586142.0,8,24463586142.0,9666659807.0
2011,HS,2711,natural_gas_lng_gaseous,29829300281.0,8,29829300281.0,12445266304.0
2012,HS,2711,natural_gas_lng_gaseous,,-1,,15165754370.0
2013,HS,2711,natural_gas_lng_gaseous,24436020150.0,8,24436020150.0,15254978978.0
2014,HS,2711,natural_gas_lng_gaseous,26206578602.0,8,26206578602.0,17154023370.0
2015,HS,2711,natural_gas_lng_gaseous,33486168719.0,8,33486168719.0,12884767326.0
2016,HS,2711,natural_gas_lng_gaseous,46188860891.0,8,46188860891.0,13792632310.0
2017,HS,2711,natural_gas_lng_gaseous,58117562429.007,8,58117562429.007,20207176377.319
2018,HS,2711,natural_gas_lng_gaseous,0.0,-1,,33076097962.533
2019,HS,2711,natural_gas_lng_gaseous,79468571654.684,8,79468571654.684,34914622460.668
2020,HS,2711,natural_gas_lng_gaseous,0.0,-1,,17983115892.445
2021,HS,2711,natural_gas_lng_gaseous,83100569432.8,8,83100569432.8,38226093603.658
2022,HS,2711,natural_gas_lng_gaseous,82848719815.48,8,82848719815.48,63897063758.455
2023,HS,2711,natural_gas_lng_gaseous,83485538626.744,8,83485538626.744,50935619705.146
2024,HS,2711,natural_gas_lng_gaseous,0.0,-1,,46006840209.933
1963,S1,TOTAL,all_commodities,,-1,,2784651264.0
1964,S1,TOTAL,all_commodities,,-1,,3035835904.0
1965,S1,TOTAL,all_commodities,,-1,,2971081472.0
1966,S1,TOTAL,all_commodities,,-1,,3080766720.0
1967,S1,TOTAL,all_commodities,0.0,-1,,3367653437.0
1968,S1,TOTAL,all_commodities,0.0,-1,,3401391304.0
1969,S1,TOTAL,all_commodities,0.0,-1,,4045036984.0
1970,S1,TOTAL,all_commodities,0.0,-1,,4621202953.0
1971,S1,TOTAL,all_commodities,0.0,-1,,5072647199.0
1972,S1,TOTAL,all_commodities,0.0,-1,,6305655069.0
1973,S1,TOTAL,all_commodities,0.0,-1,,9595989505.0
1974,S1,TOTAL,all_commodities,0.0,-1,,11000342658.0
1975,S1,TOTAL,all_commodities,0.0,-1,,11876751146.0
1976,S1,TOTAL,all_commodities,0.0,-1,,13125529081.0
1977,S1,TOTAL,all_commodities,0.0,-1,,13305879779.0
1978,S1,TOTAL,all_commodities,0.0,-1,,14522006436.0
1979,S1,TOTAL,all_commodities,0.0,-1,,18887870153.0
1980,S1,TOTAL,all_commodities,0.0,-1,,21984814082.0
1981,S1,TOTAL,all_commodities,0.0,-1,,22239095351.0
1982,S1,TOTAL,all_commodities,0.0,-1,,21415356948.0
1983,S1,TOTAL,all_commodities,0.0,-1,,19841018388.0
1984,S1,TOTAL,all_commodities,0.0,-1,,22719562446.0
1985,S1,TOTAL,all_commodities,0.0,-1,,22292103312.0
1986,S1,TOTAL,all_commodities,0.0,-1,,21837664874.0
1987,S1,TOTAL,all_commodities,0.0,-1,,25283441837.0
1963,S1,321,coal_coke_briquettes,0.0,-1,,30427764.0
1964,S1,321,coal_coke_briquettes,0.0,-1,,47140884.0
1965,S1,321,coal_coke_briquettes,0.0,-1,,69002608.0
1966,S1,321,coal_coke_briquettes,8395049984.0,8,8395049984.0,75322736.0
1967,S1,321,coal_coke_briquettes,9704477138.0,8,9704477138.0,88521659.0
1968,S1,321,coal_coke_briquettes,12564669296.0,8,12564669296.0,116772874.0
1969,S1,321,coal_coke_briquettes,16390094843.0,8,16390094843.0,165642747.0
1970,S1,321,coal_coke_briquettes,18776749631.0,8,18776749631.0,209948309.0
1971,S1,321,coal_coke_briquettes,20311375101.0,8,20311375101.0,246977703.0
1972,S1,321,coal_coke_briquettes,23683831925.0,8,23683831925.0,322569938.0
1973,S1,321,coal_coke_briquettes,28704893000.0,8,28704893000.0,459415911.0
1974,S1,321,coal_coke_briquettes,29661589000.0,8,29661589000.0,683685504.0
1975,S1,321,coal_coke_briquettes,30663823000.0,8,30663823000.0,1089862851.0
1976,S1,321,coal_coke_briquettes,32163530106.0,8,32163530106.0,1417297239.0
1977,S1,321,coal_coke_briquettes,36511416000.0,8,36511416000.0,1546150507.0
1978,S1,321,coal_coke_briquettes,38311922296.0,8,38311922296.0,1706462975.0
1979,S1,321,coal_coke_briquettes,41214965673.0,8,41214965673.0,1805731988.0
1980,S1,321,coal_coke_briquettes,42755883008.0,8,42755883008.0,1908426240.0
1981,S1,321,coal_coke_briquettes,50823544832.0,8,50823544832.0,2647536640.0
1982,S1,321,coal_coke_briquettes,46770999296.0,8,46770999296.0,2567457536.0
1983,S1,321,coal_coke_briquettes,61167206400.0,8,61167206400.0,3004659200.0
1984,S1,321,coal_coke_briquettes,75891941376.0,8,75891941376.0,3429253632.0
1985,S1,321,coal_coke_briquettes,89363980288.0,8,89363980288.0,3577034496.0
1986,S1,321,coal_coke_briquettes,92780118016.0,8,92780118016.0,3594172160.0
1987,S1,321,coal_coke_briquettes,101452873728.0,8,101452873728.0,3554402304.0
1963,S1,341,gas_natural_manufactured,0.0,-1,,162619.0
1964,S1,341,gas_natural_manufactured,0.0,-1,,240526.0
1965,S1,341,gas_natural_manufactured,0.0,-1,,381379.0
1966,S1,341,gas_natural_manufactured,0.0,-1,,548056.0
1967,S1,341,gas_natural_manufactured,2171103.0,8,2171103.0,151297.0
1968,S1,341,gas_natural_manufactured,1419495.0,8,1419495.0,135646.0
1969,S1,341,gas_natural_manufactured,1673441.0,8,1673441.0,144199.0
1970,S1,341,gas_natural_manufactured,147930063.0,8,147930063.0,2682019.0
1971,S1,341,gas_natural_manufactured,501651402.0,8,501651402.0,7572764.0
1972,S1,341,gas_natural_manufactured,726447280.0,8,726447280.0,13113452.0
1973,S1,341,gas_natural_manufactured,1052783915.0,8,1052783915.0,25567752.0
1974,S1,341,gas_natural_manufactured,987396481.0,8,987396481.0,91988415.0
