year,classification,hs_or_sitc_code,commodity,partner_iso,partner_m49,qty,qty_unit_code,net_weight_kg,value_usd
1988,HS,271111,lng_liquefied,ARE,784,2355467000.0,8,2355467000.0,385650804
1989,HS,271111,lng_liquefied,ARE,784,2300236000.0,8,2300236000.0,364992733
1990,HS,271111,lng_liquefied,ARE,784,2372420000.0,8,2372420000.0,402578082
1991,HS,271111,lng_liquefied,ARE,784,2558599000.0,8,2558599000.0,549239350
1992,HS,271111,lng_liquefied,ARE,784,2532972000.0,8,2532972000.0,460902325
1993,HS,271111,lng_liquefied,ARE,784,2481179000.0,8,2481179000.0,450230040
1994,HS,271111,lng_liquefied,ARE,784,3149072000.0,8,3149072000.0,498596380
1995,HS,271111,lng_liquefied,ARE,784,3962825000.0,8,3962825000.0,627687870
1996,HS,271111,lng_liquefied,ARE,784,4294063000.0,8,4294063000.0,704878301
1997,HS,271111,lng_liquefied,ARE,784,4630047000.0,8,4630047000.0,968648367
1998,HS,271111,lng_liquefied,ARE,784,4595970000.0,8,4595970000.0,796228569
1999,HS,271111,lng_liquefied,ARE,784,4753245000.0,8,4753245000.0,713758668
2000,HS,271111,lng_liquefied,ARE,784,4664303000.0,8,4664303000.0,1046067580
2001,HS,271111,lng_liquefied,ARE,784,5104204000.0,8,5104204000.0,1216259546
2002,HS,271111,lng_liquefied,ARE,784,4396370000.0,8,4396370000.0,973242947
2003,HS,271111,lng_liquefied,ARE,784,5066600000.0,8,5066600000.0,1234366156
2004,HS,271111,lng_liquefied,ARE,784,5299294000.0,8,5299294000.0,1324833405
2005,HS,271111,lng_liquefied,ARE,784,5128390144.0,8,5128390144.0,1467106321
2006,HS,271111,lng_liquefied,ARE,784,5314919936.0,8,5314919936.0,1857980319
2007,HS,271111,lng_liquefied,ARE,784,5571606016.0,8,5571606016.0,2066178901
2008,HS,271111,lng_liquefied,ARE,784,5574099968.0,8,5574099968.0,3262140645
2009,HS,271111,lng_liquefied,ARE,784,5137802240.0,8,5137802240.0,2383712567
2010,HS,271111,lng_liquefied,ARE,784,5165625856.0,8,5165625856.0,3116023045
1989,HS,271111,lng_liquefied,AUS,36,670353000.0,8,670353000.0,121424899
1990,HS,271111,lng_liquefied,AUS,36,2906903000.0,8,2906903000.0,512338514
1991,HS,271111,lng_liquefied,AUS,36,3860188000.0,8,3860188000.0,833523151
1992,HS,271111,lng_liquefied,AUS,36,4593574000.0,8,4593574000.0,867690482
1993,HS,271111,lng_liquefied,AUS,36,4876780000.0,8,4876780000.0,892246165
1994,HS,271111,lng_liquefied,AUS,36,5985355000.0,8,5985355000.0,1004621295
1995,HS,271111,lng_liquefied,AUS,36,6823519000.0,8,6823519000.0,1266395358
1996,HS,271111,lng_liquefied,AUS,36,7169210000.0,8,7169210000.0,1371050851
1997,HS,271111,lng_liquefied,AUS,36,7008540000.0,8,7008540000.0,1465391251
1998,HS,271111,lng_liquefied,AUS,36,7228449000.0,8,7228449000.0,1273533405
1999,HS,271111,lng_liquefied,AUS,36,7224243000.0,8,7224243000.0,1222709549
2000,HS,271111,lng_liquefied,AUS,36,7270254000.0,8,7270254000.0,1689942136
2001,HS,271111,lng_liquefied,AUS,36,7495085000.0,8,7495085000.0,1785545879
2002,HS,271111,lng_liquefied,AUS,36,7193444000.0,8,7193444000.0,1582154680
2003,HS,271111,lng_liquefied,AUS,36,7603920000.0,8,7603920000.0,1856853011
2004,HS,271111,lng_liquefied,AUS,36,8161369000.0,8,8161369000.0,2060791118
2005,HS,271111,lng_liquefied,AUS,36,10151845888.0,8,10151845888.0,2917024806
2006,HS,271111,lng_liquefied,AUS,36,12158541824.0,8,12158541824.0,4058010993
2007,HS,271111,lng_liquefied,AUS,36,12073754624.0,8,12073754624.0,4317857500
2008,HS,271111,lng_liquefied,AUS,36,11982737408.0,8,11982737408.0,7102162009
2009,HS,271111,lng_liquefied,AUS,36,11933321216.0,8,11933321216.0,5482205930
2010,HS,271111,lng_liquefied,AUS,36,13277590528.0,8,13277590528.0,8047712550
1988,HS,271111,lng_liquefied,BRN,96,5366921000.0,8,5366921000.0,835637168
1989,HS,271111,lng_liquefied,BRN,96,5253033000.0,8,5253033000.0,831059427
1990,HS,271111,lng_liquefied,BRN,96,5340774000.0,8,5340774000.0,887056110
1991,HS,271111,lng_liquefied,BRN,96,5186238000.0,8,5186238000.0,1078696332
1992,HS,271111,lng_liquefied,BRN,96,5281350000.0,8,5281350000.0,942892124
1993,HS,271111,lng_liquefied,BRN,96,5534640000.0,8,5534640000.0,998839882
1994,HS,271111,lng_liquefied,BRN,96,5454662000.0,8,5454662000.0,879328342
1995,HS,271111,lng_liquefied,BRN,96,5543067000.0,8,5543067000.0,984387289
1996,HS,271111,lng_liquefied,BRN,96,5541576000.0,8,5541576000.0,991725268
1997,HS,271111,lng_liquefied,BRN,96,5355493000.0,8,5355493000.0,1070394975
1998,HS,271111,lng_liquefied,BRN,96,5350523000.0,8,5350523000.0,864537730
1999,HS,271111,lng_liquefied,BRN,96,5482368000.0,8,5482368000.0,839495929
2000,HS,271111,lng_liquefied,BRN,96,5709697000.0,8,5709697000.0,1256214313
2001,HS,271111,lng_liquefied,BRN,96,6072057000.0,8,6072057000.0,1405447686
2002,HS,271111,lng_liquefied,BRN,96,5880806000.0,8,5880806000.0,1267267955
2003,HS,271111,lng_liquefied,BRN,96,6575181000.0,8,6575181000.0,1549870894
2004,HS,271111,lng_liquefied,BRN,96,6098658000.0,8,6098658000.0,1485570193
2005,HS,271111,lng_liquefied,BRN,96,6269373952.0,8,6269373952.0,1775113510
2006,HS,271111,lng_liquefied,BRN,96,6501688832.0,8,6501688832.0,1968360773
2007,HS,271111,lng_liquefied,BRN,96,6438965248.0,8,6438965248.0,2102634125
2008,HS,271111,lng_liquefied,BRN,96,6176684032.0,8,6176684032.0,4131961039
2009,HS,271111,lng_liquefied,BRN,96,6098377216.0,8,6098377216.0,3288040003
2010,HS,271111,lng_liquefied,BRN,96,5848787968.0,8,5848787968.0,3667658013
1988,HS,271111,lng_liquefied,IDN,360,16228088000.0,8,16228088000.0,2799184068
1989,HS,271111,lng_liquefied,IDN,360,16450717000.0,8,16450717000.0,2897720328
1990,HS,271111,lng_liquefied,IDN,360,17400547000.0,8,17400547000.0,3595704659
