year,jpn_income_direct_investment_in_australia,jpn_income_direct_investment_in_australia_income_on_debt,jpn_income_direct_investment_in_australia_income_on_equity,jpn_income_investment_income,jpn_income_other_investment_liabilities,jpn_income_portfolio_investment_liabilities,jpn_income_portfolio_investment_liabilities_income_on_debt,jpn_income_portfolio_investment_liabilities_income_on_equity,jpn_levels_direct_investment_in_australia,jpn_levels_direct_investment_in_australia_equity_capital_and_reinvested_earnings,jpn_levels_direct_investment_in_australia_other_capital,jpn_levels_financial_derivative_liabilities,jpn_levels_foreign_investment_in_australia,jpn_levels_other_investment_liabilities,jpn_levels_portfolio_investment_liabilities,jpn_levels_portfolio_investment_liabilities_debt_securities,jpn_levels_portfolio_investment_liabilities_equity_securities,jpn_levels_total_debt,jpn_levels_total_equity,jpn_transactions_direct_investment_in_australia,jpn_transactions_direct_investment_in_australia_equity_capital_and_reinvested_earnings,jpn_transactions_direct_investment_in_australia_other_capital,jpn_transactions_financial_derivative_liabilities,jpn_transactions_foreign_investment_in_australia,jpn_transactions_other_investment_liabilities,jpn_transactions_portfolio_investment_liabilities,jpn_transactions_portfolio_investment_liabilities_debt_securities,jpn_transactions_portfolio_investment_liabilities_equity_securities
2001,-1509.0,-159.0,-1350.0,-2473.0,-401.0,-563.0,,,16303.0,13476.0,2827.0,1550.0,49794.0,12056.0,19885.0,16116.0,3769.0,33638.0,17245.0,945.0,1450.0,-505.0,-1331.0,282.0,946.0,-278.0,,
2002,-1839.0,-142.0,-1697.0,-2920.0,-330.0,-751.0,,,16659.0,14609.0,2050.0,1231.0,49494.0,9550.0,22053.0,18337.0,3716.0,32291.0,18326.0,2698.0,2911.0,-213.0,-860.0,-448.0,-3273.0,987.0,,
2003,-2014.0,-18.0,-1996.0,-2983.0,-193.0,-777.0,,,18386.0,16450.0,1936.0,1645.0,46417.0,6937.0,19450.0,15736.0,3714.0,27131.0,20164.0,2167.0,2105.0,63.0,-632.0,872.0,-1568.0,904.0,,
2004,-2201.0,-16.0,-2185.0,-3142.0,-117.0,-824.0,-814.0,-10.0,18110.0,16401.0,1710.0,953.0,49144.0,5241.0,24839.0,20944.0,3895.0,29496.0,20296.0,1143.0,1270.0,-127.0,-1551.0,4098.0,-1490.0,5995.0,,
2005,-3846.0,-20.0,-3827.0,-4856.0,-58.0,-952.0,-940.0,-12.0,21403.0,19148.0,2255.0,476.0,51023.0,5367.0,23776.0,19795.0,3982.0,28434.0,23130.0,3416.0,2860.0,556.0,-1744.0,2068.0,174.0,222.0,154.0,68.0
2006,-4493.0,-20.0,-4474.0,-5418.0,-85.0,-840.0,-828.0,-12.0,23819.0,21866.0,1954.0,1465.0,51679.0,5311.0,21084.0,16923.0,4161.0,26254.0,26027.0,3065.0,3329.0,-264.0,639.0,4894.0,306.0,885.0,,
2007,-4578.0,-22.0,-4557.0,-5637.0,-141.0,-918.0,,,31100.0,28122.0,2977.0,1290.0,63380.0,9618.0,21372.0,17060.0,4313.0,31428.0,32435.0,6764.0,5707.0,1057.0,-1914.0,12504.0,4408.0,3247.0,3226.0,21.0
2008,-5685.0,-23.0,-5661.0,-7309.0,-125.0,-1500.0,,,36676.0,32592.0,4085.0,,88875.0,,42091.0,38423.0,3668.0,53397.0,36259.0,6280.0,5239.0,1041.0,-261.0,21050.0,4413.0,10618.0,,
2009,-5455.0,-22.0,-5433.0,-7793.0,-202.0,-2136.0,,,45637.0,39539.0,6098.0,225.0,102583.0,7544.0,49176.0,45382.0,3794.0,60054.0,43333.0,9745.0,7374.0,2371.0,4248.0,11274.0,-7206.0,4488.0,,
2010,-6526.0,-56.0,-6470.0,-8815.0,-110.0,-2179.0,,,51082.0,44879.0,6203.0,629.0,118735.0,10947.0,56077.0,52201.0,3876.0,70743.0,48755.0,6196.0,6061.0,135.0,-1277.0,14315.0,3726.0,5670.0,,
