year,asean_direct_flow_aud_million,asean_direct_stock_aud_million,canada_direct_flow_aud_million,canada_direct_stock_aud_million,china_excludes_sars_and_taiwan_direct_flow_aud_million,china_excludes_sars_and_taiwan_direct_stock_aud_million,germany_direct_flow_aud_million,germany_direct_stock_aud_million,hong_kong_sar_of_china_direct_flow_aud_million,hong_kong_sar_of_china_direct_stock_aud_million,japan_direct_flow_aud_million,japan_direct_stock_aud_million,korea_republic_of_south_direct_flow_aud_million,korea_republic_of_south_direct_stock_aud_million,netherlands_direct_flow_aud_million,netherlands_direct_stock_aud_million,singapore_direct_flow_aud_million,singapore_direct_stock_aud_million,united_kingdom_direct_flow_aud_million,united_kingdom_direct_stock_aud_million,united_states_of_america_direct_flow_aud_million,united_states_of_america_direct_stock_aud_million
2001,13342.0,16284.0,1134.0,2181.0,-21.0,,476.0,6069.0,-661.0,1709.0,945.0,16303.0,288.0,281.0,397.0,10540.0,,14873.0,-12399.0,48082.0,10158.0,68840.0
2002,-8026.0,7004.0,2978.0,5174.0,12.0,,790.0,7550.0,827.0,,2698.0,16659.0,106.0,,2028.0,11953.0,,3683.0,791.0,55423.0,6600.0,70646.0
2003,415.0,7385.0,2340.0,8123.0,,,529.0,7672.0,-109.0,,2167.0,18386.0,-94.0,,845.0,11924.0,533.0,4254.0,-10630.0,45732.0,8752.0,83921.0
2004,2870.0,7771.0,230.0,6469.0,-80.0,,1237.0,8418.0,-297.0,,1143.0,18110.0,186.0,,5493.0,17997.0,2709.0,5137.0,-701.0,43572.0,41297.0,145230.0
2005,1463.0,9027.0,558.0,6070.0,-58.0,,1395.0,9754.0,,,3416.0,21403.0,43.0,636.0,2314.0,21365.0,-744.0,4201.0,4736.0,52501.0,-59752.0,75554.0
2006,570.0,10489.0,2199.0,7661.0,244.0,550.0,951.0,10558.0,1131.0,4758.0,3065.0,23819.0,196.0,,2558.0,24633.0,48.0,5590.0,1090.0,55822.0,6300.0,86599.0
2007,6954.0,17715.0,-23.0,7232.0,,,3282.0,19778.0,3881.0,7211.0,6764.0,31100.0,122.0,,-843.0,24833.0,8063.0,14189.0,-368.0,62409.0,14850.0,100891.0
2008,1145.0,16132.0,-589.0,7287.0,3187.0,3643.0,1671.0,15501.0,1835.0,9093.0,6280.0,36676.0,194.0,960.0,-383.0,19186.0,-1549.0,10415.0,19180.0,59561.0,10924.0,99939.0
2009,5956.0,22051.0,4748.0,12227.0,4861.0,9058.0,1981.0,18109.0,-4331.0,5440.0,9745.0,45637.0,481.0,1287.0,12665.0,31406.0,5543.0,16745.0,-3645.0,60960.0,3708.0,98181.0
2010,5638.0,25810.0,2128.0,14877.0,2626.0,12908.0,988.0,16805.0,740.0,6630.0,6196.0,51082.0,781.0,2053.0,-273.0,27606.0,2694.0,18712.0,-4353.0,53678.0,16104.0,110313.0
2011,3868.0,27972.0,5661.0,18991.0,3265.0,14482.0,-1576.0,14097.0,1308.0,7578.0,13153.0,54864.0,,,2992.0,29730.0,1888.0,19902.0,18632.0,66127.0,10939.0,115502.0
2012,4962.0,32721.0,2383.0,20972.0,3442.0,16549.0,161.0,13593.0,-207.0,7435.0,11729.0,64266.0,209.0,2551.0,2144.0,29959.0,2089.0,22366.0,10295.0,72890.0,13716.0,131061.0
