country,year,table,investment_type,value_aud_million
Japan,2001,transactions,Foreign investment in Australia,282.0
Japan,2002,transactions,Foreign investment in Australia,-448.0
Japan,2003,transactions,Foreign investment in Australia,872.0
Japan,2004,transactions,Foreign investment in Australia,4098.0
Japan,2005,transactions,Foreign investment in Australia,2068.0
Japan,2006,transactions,Foreign investment in Australia,4894.0
Japan,2007,transactions,Foreign investment in Australia,12504.0
Japan,2008,transactions,Foreign investment in Australia,21050.0
Japan,2009,transactions,Foreign investment in Australia,11274.0
Japan,2010,transactions,Foreign investment in Australia,14315.0
Japan,2011,transactions,Foreign investment in Australia,11733.0
Japan,2012,transactions,Foreign investment in Australia,9239.0
Japan,2013,transactions,Foreign investment in Australia,5198.0
Japan,2014,transactions,Foreign investment in Australia,18781.0
Japan,2015,transactions,Foreign investment in Australia,14873.0
Japan,2016,transactions,Foreign investment in Australia,13420.0
Japan,2017,transactions,Foreign investment in Australia,10511.0
Japan,2018,transactions,Foreign investment in Australia,4559.0
Japan,2019,transactions,Foreign investment in Australia,7212.0
Japan,2020,transactions,Foreign investment in Australia,21349.0
Japan,2021,transactions,Foreign investment in Australia,-6821.0
Japan,2022,transactions,Foreign investment in Australia,6686.0
Japan,2023,transactions,Foreign investment in Australia,-5899.0
Japan,2024,transactions,Foreign investment in Australia,7302.0
Japan,2025,transactions,Foreign investment in Australia,2969.0
Japan,2001,transactions,Direct investment in Australia,945.0
Japan,2002,transactions,Direct investment in Australia,2698.0
Japan,2003,transactions,Direct investment in Australia,2167.0
Japan,2004,transactions,Direct investment in Australia,1143.0
Japan,2005,transactions,Direct investment in Australia,3416.0
Japan,2006,transactions,Direct investment in Australia,3065.0
Japan,2007,transactions,Direct investment in Australia,6764.0
Japan,2008,transactions,Direct investment in Australia,6280.0
Japan,2009,transactions,Direct investment in Australia,9745.0
Japan,2010,transactions,Direct investment in Australia,6196.0
Japan,2011,transactions,Direct investment in Australia,13153.0
Japan,2012,transactions,Direct investment in Australia,11729.0
Japan,2013,transactions,Direct investment in Australia,6966.0
Japan,2014,transactions,Direct investment in Australia,12140.0
