year,fdi_flow_usd_million,fdi_stock_usd_million
1983,,
1984,,
1985,,
1986,,
1987,661.0,
1988,1479.0,
1989,2833.0,
1990,2419.0,
1991,1692.0,
1992,1414.0,
1993,785.0,
1994,1102.0,
1995,408.4757997211589,
1996,706.8892588696195,9203.941816050612
1997,354.0879130449361,11758.190525025888
1998,1184.1192133669504,8459.346892469874
1999,-403.6331118946166,8543.25552507837
2000,152.37861396801128,7668.40731070496
2001,554.0435339473017,6881.088183812512
2002,1151.2894345873888,9961.776819971517
2003,963.6224090699396,11518.205225764232
2004,1650.713744021774,12844.0
2005,639.8881025073815,10618.259396158324
2006,465.65238461975696,12181.171291978979
2007,4139.820629754716,17940.099999524486
2008,5232.195316469931,19106.598108519163
2009,7136.41091229557,32557.208434768698
2010,6370.941902875049,39856.027484159975
2011,8148.808199600808,49417.00458604525
2012,10890.081528515444,61343.93269181569
2013,5834.879970515765,54112.47630632685
2014,4603.557569532266,62594.75506599332
2015,5675.713422584584,67459.61504774954
2016,5574.695586007192,65978.939198796
2017,4471.486392180463,69105.38448366622
2018,3227.0263095884866,67301.13143655796
2019,10525.352921977244,72977.46479946862
2020,13725.947533314611,89360.26280272912
2021,7418.009498068911,83253.92032185545
2022,11839.29117413292,89041.5505542228
2023,15191.10102414648,100048.73710642857
2024,15064.6041725532,104193.24658782699
2025,9328.118399289768,
