title,url,date,headline,loan_amounts_mentioned,body_excerpt
Loan for Partial Acquisition of Participation Interest in Rhodes Ridge Iron Ore Mine in Australia : Contributing toward Securing Stable Resource Supply for Japanese Companies,https://www.jbic.go.jp/en/information/press/press-2025/press_00179.html,"March 10, 2026",Loan for Partial Acquisition of Participation Interest in Rhodes Ridge Iron Ore Mine in Australia Contributing toward Securing Stable Resource Supply for Japanese Companies,up to USD 300 million | USD 430 million,"Loan for Partial Acquisition of Participation Interest in Rhodes Ridge Iron Ore Mine in Australia | JBIC Japan Bank for International Cooperation Skip to main content. When using this site, please try to ensure JavaScripts are enabled. Home Sitemap Access Other Languages Other Languages Japanese JBIC Site Search Most searched keywords JBIC Today GREEN Sustainability Green Bonds Close JBIC Site Search Most searched keywords JBIC Today GREEN Sustainability Green Bonds Close About JBIC About JBIC This page introduces information on JBIC's role and organization. Role and Function Message from the Governor Profile Medium-Term Business Plan Corporate Governance Introduction of the Finance Groups Domestic and Overseas Network JBIC Video Close Support Menu Support Menu JBIC offers a range of financial products and other services to our clients. Export Loans Import Loans Overseas Investment Loans Untied Loans Equity Investment Guarantees Bridge Loans Acquisition of Loan Assets and Public and Corporate Bonds Research and Studies Securitization and Other Financial Instruments List of Export TSLs List of Investment TSLs List of Untied TSLs Close Business Areas Business Areas Information about JBIC's activities in each business area and its efforts for environmental conservation. Energy and Natural Resources Infrastructure Manufacturing and Other Industries Mid-tier Enterprises and SMEs Startup Investments Environment Environmental Guidelines Records of Various Financing Efforts Business "
JBIC Signs MOU with State of Queensland of Australia : Strengthening Cooperation for Promoting Japanese Investments in Queensland,https://www.jbic.go.jp/en/information/press/press-2025/press_00118.html,"November 26, 2025",JBIC Signs MOU with State of Queensland of Australia Strengthening Cooperation for Promoting Japanese Investments in Queensland,,"JBIC Signs MOU with State of Queensland of Australia | JBIC Japan Bank for International Cooperation Skip to main content. When using this site, please try to ensure JavaScripts are enabled. Home Sitemap Access Other Languages Other Languages Japanese JBIC Site Search Most searched keywords JBIC Today GREEN Sustainability Green Bonds Close JBIC Site Search Most searched keywords JBIC Today GREEN Sustainability Green Bonds Close About JBIC About JBIC This page introduces information on JBIC's role and organization. Role and Function Message from the Governor Profile Medium-Term Business Plan Corporate Governance Introduction of the Finance Groups Domestic and Overseas Network JBIC Video Close Support Menu Support Menu JBIC offers a range of financial products and other services to our clients. Export Loans Import Loans Overseas Investment Loans Untied Loans Equity Investment Guarantees Bridge Loans Acquisition of Loan Assets and Public and Corporate Bonds Research and Studies Securitization and Other Financial Instruments List of Export TSLs List of Investment TSLs List of Untied TSLs Close Business Areas Business Areas Information about JBIC's activities in each business area and its efforts for environmental conservation. Energy and Natural Resources Infrastructure Manufacturing and Other Industries Mid-tier Enterprises and SMEs Startup Investments Environment Environmental Guidelines Records of Various Financing Efforts Business Performance of the GREEN Operations Asian Bon"
Loan for Partial Acquisition of Participation Interest in Blackwater Coking Coal Mine in Australia : Contributing toward Securing Stable Resource Supply for Japanese Companies,https://www.jbic.go.jp/en/information/press/press-2025/press_00010.html,"April 11, 2025",Loan for Partial Acquisition of Participation Interest in Blackwater Coking Coal Mine in Australia Contributing toward Securing Stable Resource Supply for Japanese Companies,up to JPY 34.2 billion | JPY 57.0 billion,"Loan for Partial Acquisition of Participation Interest in Blackwater Coking Coal Mine in Australia | JBIC Japan Bank for International Cooperation Skip to main content. When using this site, please try to ensure JavaScripts are enabled. Home Sitemap Access Other Languages Other Languages Japanese JBIC Site Search Most searched keywords JBIC Today GREEN Sustainability Green Bonds Close JBIC Site Search Most searched keywords JBIC Today GREEN Sustainability Green Bonds Close About JBIC About JBIC This page introduces information on JBIC's role and organization. Role and Function Message from the Governor Profile Medium-Term Business Plan Corporate Governance Introduction of the Finance Groups Domestic and Overseas Network JBIC Video Close Support Menu Support Menu JBIC offers a range of financial products and other services to our clients. Export Loans Import Loans Overseas Investment Loans Untied Loans Equity Investment Guarantees Bridge Loans Acquisition of Loan Assets and Public and Corporate Bonds Research and Studies Securitization and Other Financial Instruments List of Export TSLs List of Investment TSLs List of Untied TSLs Close Business Areas Business Areas Information about JBIC's activities in each business area and its efforts for environmental conservation. Energy and Natural Resources Infrastructure Manufacturing and Other Industries Mid-tier Enterprises and SMEs Startup Investments Environment Environmental Guidelines Records of Various Financing Efforts Business"
Loan for Development of Scarborough Energy Project in Australia : Contributing toward Securing Stable Supply of Energy and Promoting Energy Transitions,https://www.jbic.go.jp/en/information/press/press-2024/press_00023.html,"May 30, 2024",Loan for Development of Scarborough Energy Project in Australia Contributing toward Securing Stable Supply of Energy and Promoting Energy Transitions,up to USD 1000 million | USD 1450 million,"Loan for Development of Scarborough Energy Project in Australia | JBIC Japan Bank for International Cooperation Skip to main content. When using this site, please try to ensure JavaScripts are enabled. Home Sitemap Access Other Languages Other Languages Japanese JBIC Site Search Most searched keywords JBIC Today GREEN Sustainability Green Bonds Close JBIC Site Search Most searched keywords JBIC Today GREEN Sustainability Green Bonds Close About JBIC About JBIC This page introduces information on JBIC's role and organization. Role and Function Message from the Governor Profile Medium-Term Business Plan Corporate Governance Introduction of the Finance Groups Domestic and Overseas Network JBIC Video Close Support Menu Support Menu JBIC offers a range of financial products and other services to our clients. Export Loans Import Loans Overseas Investment Loans Untied Loans Equity Investment Guarantees Bridge Loans Acquisition of Loan Assets and Public and Corporate Bonds Research and Studies Securitization and Other Financial Instruments List of Export TSLs List of Investment TSLs List of Untied TSLs Close Business Areas Business Areas Information about JBIC's activities in each business area and its efforts for environmental conservation. Energy and Natural Resources Infrastructure Manufacturing and Other Industries Mid-tier Enterprises and SMEs Startup Investments Environment Environmental Guidelines Records of Various Financing Efforts Business Performance of the GREEN Operation"
Loan for Acquisition of Participation Interest in and Development of Scarborough Gas Field Project in Australia : Contributing toward Securing Stable Supply of Energy and Promoting Energy Transitions,https://www.jbic.go.jp/en/information/press/press-2023/press_00207.html,"March 26, 2024",Loan for Acquisition of Participation Interest in and Development of Scarborough Gas Field Project in Australia Contributing toward Securing Stable Supply of Energy and Promoting Energy Transitions,up to USD 831 million | USD 1231 million,"Loan for Acquisition of Participation Interest in and Development of Scarborough Gas Field Project in Australia | JBIC Japan Bank for International Cooperation Skip to main content. When using this site, please try to ensure JavaScripts are enabled. Home Sitemap Access Other Languages Other Languages Japanese JBIC Site Search Most searched keywords JBIC Today GREEN Sustainability Green Bonds Close JBIC Site Search Most searched keywords JBIC Today GREEN Sustainability Green Bonds Close About JBIC About JBIC This page introduces information on JBIC's role and organization. Role and Function Message from the Governor Profile Medium-Term Business Plan Corporate Governance Introduction of the Finance Groups Domestic and Overseas Network JBIC Video Close Support Menu Support Menu JBIC offers a range of financial products and other services to our clients. Export Loans Import Loans Overseas Investment Loans Untied Loans Equity Investment Guarantees Bridge Loans Acquisition of Loan Assets and Public and Corporate Bonds Research and Studies Securitization and Other Financial Instruments List of Export TSLs List of Investment TSLs List of Untied TSLs Close Business Areas Business Areas Information about JBIC's activities in each business area and its efforts for environmental conservation. Energy and Natural Resources Infrastructure Manufacturing and Other Industries Mid-tier Enterprises and SMEs Startup Investments Environment Environmental Guidelines Records of Various Financing Eff"
JBIC Signs MOU with Northern Territory of Australia : Strengthening Cooperation for Promoting Japanese Investments in Northern Territory,https://www.jbic.go.jp/en/information/press/press-2023/press_00169.html,"February 15, 2024",JBIC Signs MOU with Northern Territory of Australia Strengthening Cooperation for Promoting Japanese Investments in Northern Territory,,"JBIC Signs MOU with Northern Territory of Australia | JBIC Japan Bank for International Cooperation Skip to main content. When using this site, please try to ensure JavaScripts are enabled. Home Sitemap Access Other Languages Other Languages Japanese JBIC Site Search Most searched keywords JBIC Today GREEN Sustainability Green Bonds Close JBIC Site Search Most searched keywords JBIC Today GREEN Sustainability Green Bonds Close About JBIC About JBIC This page introduces information on JBIC's role and organization. Role and Function Message from the Governor Profile Medium-Term Business Plan Corporate Governance Introduction of the Finance Groups Domestic and Overseas Network JBIC Video Close Support Menu Support Menu JBIC offers a range of financial products and other services to our clients. Export Loans Import Loans Overseas Investment Loans Untied Loans Equity Investment Guarantees Bridge Loans Acquisition of Loan Assets and Public and Corporate Bonds Research and Studies Securitization and Other Financial Instruments List of Export TSLs List of Investment TSLs List of Untied TSLs Close Business Areas Business Areas Information about JBIC's activities in each business area and its efforts for environmental conservation. Energy and Natural Resources Infrastructure Manufacturing and Other Industries Mid-tier Enterprises and SMEs Startup Investments Environment Environmental Guidelines Records of Various Financing Efforts Business Performance of the GREEN Operations Asian Bond"
JBIC Signs MOU with the Clean Energy Finance Corporation of Australia : Strengthening Cooperation in Hydrogen Sector and Promoting Japan-Australia Collaboration for Realizing Decarbonized Society,https://www.jbic.go.jp/en/information/press/press-2023/press_00114.html,"October 27, 2023",JBIC Signs MOU with the Clean Energy Finance Corporation of Australia Strengthening Cooperation in Hydrogen Sector and Promoting Japan-Australia Collaboration for Realizing Decarbonized Society,,"JBIC Signs MOU with the Clean Energy Finance Corporation of Australia | JBIC Japan Bank for International Cooperation Skip to main content. When using this site, please try to ensure JavaScripts are enabled. Home Sitemap Access Other Languages Other Languages Japanese JBIC Site Search Most searched keywords JBIC Today GREEN Sustainability Green Bonds Close JBIC Site Search Most searched keywords JBIC Today GREEN Sustainability Green Bonds Close About JBIC About JBIC This page introduces information on JBIC's role and organization. Role and Function Message from the Governor Profile Medium-Term Business Plan Corporate Governance Introduction of the Finance Groups Domestic and Overseas Network JBIC Video Close Support Menu Support Menu JBIC offers a range of financial products and other services to our clients. Export Loans Import Loans Overseas Investment Loans Untied Loans Equity Investment Guarantees Bridge Loans Acquisition of Loan Assets and Public and Corporate Bonds Research and Studies Securitization and Other Financial Instruments List of Export TSLs List of Investment TSLs List of Untied TSLs Close Business Areas Business Areas Information about JBIC's activities in each business area and its efforts for environmental conservation. Energy and Natural Resources Infrastructure Manufacturing and Other Industries Mid-tier Enterprises and SMEs Startup Investments Environment Environmental Guidelines Records of Various Financing Efforts Business Performance of the GREEN Ope"
JBIC Signs MOU with State of Western Australia : Strengthening Cooperation for Promoting Japanese Investments in Western Australia,https://www.jbic.go.jp/en/information/press/press-2022/0126-017295.html,"January 26, 2023",JBIC Signs MOU with State of Western Australia Strengthening Cooperation for Promoting Japanese Investments in Western Australia,,"JBIC Signs MOU with State of Western Australia | JBIC Japan Bank for International Cooperation Skip to main content. When using this site, please try to ensure JavaScripts are enabled. Home Sitemap Access Other Languages Other Languages Japanese JBIC Site Search Most searched keywords JBIC Today GREEN Sustainability Green Bonds Close JBIC Site Search Most searched keywords JBIC Today GREEN Sustainability Green Bonds Close About JBIC About JBIC This page introduces information on JBIC's role and organization. Role and Function Message from the Governor Profile Medium-Term Business Plan Corporate Governance Introduction of the Finance Groups Domestic and Overseas Network JBIC Video Close Support Menu Support Menu JBIC offers a range of financial products and other services to our clients. Export Loans Import Loans Overseas Investment Loans Untied Loans Equity Investment Guarantees Bridge Loans Acquisition of Loan Assets and Public and Corporate Bonds Research and Studies Securitization and Other Financial Instruments List of Export TSLs List of Investment TSLs List of Untied TSLs Close Business Areas Business Areas Information about JBIC's activities in each business area and its efforts for environmental conservation. Energy and Natural Resources Infrastructure Manufacturing and Other Industries Mid-tier Enterprises and SMEs Startup Investments Environment Environmental Guidelines Records of Various Financing Efforts Business Performance of the GREEN Operations Asian Bond Mark"
JBIC Signed Memorandum of Understanding for Comprehensive Strategic Partnership with Woodside Energy Group Ltd. of Australia : Promoting Collaboration for Supply of Energy and Creating Decarbonization Opportunities,https://www.jbic.go.jp/en/information/press/press-2022/1101-016943.html,"November 1, 2022",JBIC Signed Memorandum of Understanding for Comprehensive Strategic Partnership with Woodside Energy Group Ltd. of Australia Promoting Collaboration for Supply of Energy and Creating Decarbonization Opportunities,,"JBIC Signed Memorandum of Understanding for Comprehensive Strategic Partnership with Woodside Energy Group Ltd. of Australia | JBIC Japan Bank for International Cooperation Skip to main content. When using this site, please try to ensure JavaScripts are enabled. Home Sitemap Access Other Languages Other Languages Japanese JBIC Site Search Most searched keywords JBIC Today GREEN Sustainability Green Bonds Close JBIC Site Search Most searched keywords JBIC Today GREEN Sustainability Green Bonds Close About JBIC About JBIC This page introduces information on JBIC's role and organization. Role and Function Message from the Governor Profile Medium-Term Business Plan Corporate Governance Introduction of the Finance Groups Domestic and Overseas Network JBIC Video Close Support Menu Support Menu JBIC offers a range of financial products and other services to our clients. Export Loans Import Loans Overseas Investment Loans Untied Loans Equity Investment Guarantees Bridge Loans Acquisition of Loan Assets and Public and Corporate Bonds Research and Studies Securitization and Other Financial Instruments List of Export TSLs List of Investment TSLs List of Untied TSLs Close Business Areas Business Areas Information about JBIC's activities in each business area and its efforts for environmental conservation. Energy and Natural Resources Infrastructure Manufacturing and Other Industries Mid-tier Enterprises and SMEs Startup Investments Environment Environmental Guidelines Records of Various "
JBIC Signs MOU with Santos Limited of Australia : Promoting Collaboration for Securing Stable Supply of Energy and for Realizing Decarbonized Society,https://www.jbic.go.jp/en/information/press/press-2022/1005-016854.html,"October 5, 2022",JBIC Signs MOU with Santos Limited of Australia Promoting Collaboration for Securing Stable Supply of Energy and for Realizing Decarbonized Society,,"JBIC Signs MOU with Santos Limited of Australia | JBIC Japan Bank for International Cooperation Skip to main content. When using this site, please try to ensure JavaScripts are enabled. Home Sitemap Access Other Languages Other Languages Japanese JBIC Site Search Most searched keywords JBIC Today GREEN Sustainability Green Bonds Close JBIC Site Search Most searched keywords JBIC Today GREEN Sustainability Green Bonds Close About JBIC About JBIC This page introduces information on JBIC's role and organization. Role and Function Message from the Governor Profile Medium-Term Business Plan Corporate Governance Introduction of the Finance Groups Domestic and Overseas Network JBIC Video Close Support Menu Support Menu JBIC offers a range of financial products and other services to our clients. Export Loans Import Loans Overseas Investment Loans Untied Loans Equity Investment Guarantees Bridge Loans Acquisition of Loan Assets and Public and Corporate Bonds Research and Studies Securitization and Other Financial Instruments List of Export TSLs List of Investment TSLs List of Untied TSLs Close Business Areas Business Areas Information about JBIC's activities in each business area and its efforts for environmental conservation. Energy and Natural Resources Infrastructure Manufacturing and Other Industries Mid-tier Enterprises and SMEs Startup Investments Environment Environmental Guidelines Records of Various Financing Efforts Business Performance of the GREEN Operations Asian Bond Mar"
