country,year,indicator_code,indicator_name,value
AUS,1960,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1961,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1962,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1963,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1964,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1965,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1966,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1967,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1968,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1969,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1970,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1971,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1972,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1973,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1974,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1975,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1976,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1977,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1978,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1979,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1980,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1981,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1982,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1983,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1984,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1985,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1986,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1987,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1988,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1989,EG.IMP.CONS.ZS,energy_imports_pct_use,
AUS,1990,EG.IMP.CONS.ZS,energy_imports_pct_use,-74.9034161284875
AUS,1991,EG.IMP.CONS.ZS,energy_imports_pct_use,-93.6375844274199
AUS,1992,EG.IMP.CONS.ZS,energy_imports_pct_use,-95.9151831093466
AUS,1993,EG.IMP.CONS.ZS,energy_imports_pct_use,-92.3660251504525
AUS,1994,EG.IMP.CONS.ZS,energy_imports_pct_use,-91.3742846110136
AUS,1995,EG.IMP.CONS.ZS,energy_imports_pct_use,-96.4516273110149
AUS,1996,EG.IMP.CONS.ZS,energy_imports_pct_use,-91.0909229140998
AUS,1997,EG.IMP.CONS.ZS,energy_imports_pct_use,-100.727503230138
AUS,1998,EG.IMP.CONS.ZS,energy_imports_pct_use,-107.390214825386
AUS,1999,EG.IMP.CONS.ZS,energy_imports_pct_use,-103.454366779273
AUS,2000,EG.IMP.CONS.ZS,energy_imports_pct_use,-117.602689924911
AUS,2001,EG.IMP.CONS.ZS,energy_imports_pct_use,-126.513619589279
AUS,2002,EG.IMP.CONS.ZS,energy_imports_pct_use,-130.62417241528
AUS,2003,EG.IMP.CONS.ZS,energy_imports_pct_use,-125.288697474724
AUS,2004,EG.IMP.CONS.ZS,energy_imports_pct_use,-125.872031210017
AUS,2005,EG.IMP.CONS.ZS,energy_imports_pct_use,-131.07466643319
AUS,2006,EG.IMP.CONS.ZS,energy_imports_pct_use,-123.806910241922
AUS,2007,EG.IMP.CONS.ZS,energy_imports_pct_use,-127.764290888944
AUS,2008,EG.IMP.CONS.ZS,energy_imports_pct_use,-123.534610231999
AUS,2009,EG.IMP.CONS.ZS,energy_imports_pct_use,-128.476617177707
AUS,2010,EG.IMP.CONS.ZS,energy_imports_pct_use,-146.708346775748
AUS,2011,EG.IMP.CONS.ZS,energy_imports_pct_use,-141.942926034157
AUS,2012,EG.IMP.CONS.ZS,energy_imports_pct_use,-149.195380388504
AUS,2013,EG.IMP.CONS.ZS,energy_imports_pct_use,-164.691774053304
AUS,2014,EG.IMP.CONS.ZS,energy_imports_pct_use,-185.555789490717
AUS,2015,EG.IMP.CONS.ZS,energy_imports_pct_use,-197.386842232292
AUS,2016,EG.IMP.CONS.ZS,energy_imports_pct_use,-206.230251314561
AUS,2017,EG.IMP.CONS.ZS,energy_imports_pct_use,-213.039219172204
